B16_Schwager_Age_a_AD	B16_Schwager_Accmrate_we
1992	0.0534858
1991	0.142905
1990	0.105134
1989	0.111107
1988	0.0821586
1987	0.070763
1986	0.107247
1985	0.151359
1984	0.114967
1983	0.08271
1982	0.0795854
1981	0.0800449
1980	0.166431
1979	0.116529
1978	0.142721
1977	0.06433
1976	0.11947
1975	0.13785
1974	0.13785
1973	0.10109
1972	0.20218
1971	0.10109
1970	0.06433
1969	0.14704
1968	0.0919
1967	0.07352
1966	0.12866
1965	0.16542
1964	0.0919
1963	0.11947
1962	0.11028
1961	0.12866
1960	0.16542
1959	0.12866
1958	0.15623
1957	0.08271
1956	0.12866
1955	0.05514
1954	0.16542
1953	0.13785
1952	0.19299
1951	0.06433
1950	0.06433
1949	0.06433
1948	0.05514
1947	0.11028
1946	0.07352
1945	0.10109
1944	0.13785
1943	0.12866
1942	0.13785
1941	0.05514
1940	0.19299
1939	0.12866
1938	0.12866
1937	0.20218
1936	0.17461
1935	0.12866
1934	0.13785
1933	0.12866
1932	0.12866
1931	0.13785
1930	0.07352
1929	0.06433
1928	0.12866
1927	0.12866
1926	0.11947
1925	0.14704
1924	0.14704
1923	0.0919
1922	0.0919
1921	0.15623
1920	0.13785
1919	0.13785
1918	0.13785
1917	0.10109
1916	0.11947
1915	0.12866
1914	0.22056
1913	0.16542
1912	0.19299
1911	0.20218
1910	0.14704
1909	0.10109
1908	0.12866
1907	0.15623
1906	0.0919
1905	0.15623
1904	0.0919
1903	0.11947
1902	0.14704
1901	0.11028
1900	0.14704
1899	0.15623
1898	0.11028
1897	0.13785
1896	0.11947
1895	0.15623
1894	0.13785
1893	0.13785
1892	0.12866
1891	0.11947
1890	0.0919
1889	0.16542
1888	0.13785
1887	0.12866
1886	0.12866
1885	0.15623
1884	0.13785
1883	0.11028
1882	0.11947
1881	0.11028
1880	0.11028
1879	0.13785
1878	0.16542
1877	0.11947
1876	0.17461
1875	0.11028
1874	0.11947
1873	0.10109
1872	0.13785
1871	0.12866
1870	0.16542
1869	0.10109
1868	0.11947
1867	0.11947
1866	0.13785
1865	0.08271
1864	0.16542
1863	0.11028
1862	0.13785
1861	0.12866
1860	0.17461
1859	0.11947
1858	0.12866
1857	0.11947
1856	0.11028
1855	0.16542
1854	0.0919
1853	0.17461
