B21_Schwager_Age__a_AD_	B21_Schwager_Accmrate_we
1993	0.106696
1992	0.105869
1991	0.107982
1990	0.0956679
1989	0.109085
1988	0.100722
1987	0.0794016
1986	0.0966788
1985	0.103296
1984	0.0971383
1983	0.0877645
1982	0.0989763
1981	0.0755418
1980	0.131601
1979	0.072601
1978	0.0743471
1977	0.110372
1976	0.0881321
1975	0.0669951
1974	0.0991601
1973	0.114232
1972	0.0906134
1971	0.0952084
1970	0.142996
1969	0.0531182
1968	0.0889592
1967	0.141158
1966	0.070763
1965	0.0929109
1964	0.0835371
1963	0.0721415
1962	0.08271
1961	0.0712225
1960	0.08271
1959	0.08271
1958	0.08271
1957	0.07352
1956	0.07352
1955	0.0919
1954	0.0919
1953	0.0919
1952	0.07352
1951	0.0919
1950	0.10109
1949	0.10109
1948	0.05514
1947	0.11947
1946	0.16542
1945	0.19299
1944	0.05514
1943	0.04595
1942	0.0919
1941	0.07352
1940	0.04595
1939	0.06433
1938	0.10109
1937	0.08271
1936	0.10109
1935	0.04595
1934	0.0919
1933	0.08271
1932	0.15623
1931	0.12866
1930	0.10109
1929	0.08271
1928	0.07352
1927	0.12866
1926	0.14704
1925	0.08271
1924	0.0919
1923	0.08271
1922	0.11947
1921	0.13785
1920	0.05514
1919	0.04595
1918	0.05514
1917	0.10109
1916	0.15623
1915	0.12866
1914	0.0919
1913	0.15623
1912	0.08271
1911	0.14704
1910	0.08271
1909	0.05514
1908	0.0919
1907	0.05514
1906	0.07352
1905	0.10109
1904	0.10109
1903	0.06433
1902	0.12866
1901	0.15623
1900	0.10109
1899	0.11947
1898	0.05514
1897	0.12866
1896	0.15623
1895	0.08271
1894	0.13785
1893	0.0919
1892	0.11947
1891	0.0919
1890	0.07352
1889	0.11028
1888	0.0919
1887	0.10109
1886	0.07352
1885	0.07352
1884	0.15623
1883	0.08271
1882	0.06433
1881	0.10109
1880	0.10109
1879	0.13785
1878	0.10109
1877	0.11028
1876	0.17461
1875	0.0919
1874	0.06433
1873	0.11947
1872	0.10109
1871	0.06433
1870	0.07352
1869	0.14704
1868	0.12866
1867	0.08271
1866	0.12866
1865	0.0919
1864	0.0919
1863	0.07352
1862	0.10109
1861	0.05514
1860	0.0919
1859	0.08271
1858	0.07352
1857	0.08271
1856	0.10109
1855	0.11028
1854	0.11947
1853	0.11947
1852	0.06433
1851	0.11947
1850	0.11947
1849	0.10109
1848	0.11947
1847	0.07352
1846	0.11947
1845	0.0919
1844	0.08271
1843	0.0919
1842	0.08271
1841	0.11028
1840	0.05514
1839	0.11028
1838	0.1838
1837	0.13785
1836	0.06433
1835	0.06433
1834	0.16542
1833	0.15623
1832	0.12866
1831	0.13785
1830	0.13785
1829	0.07352
1828	0.11947
1827	0.07352
1826	0.08271
1825	0.10109
1824	0.0919
1823	0.08271
1822	0.0919
1821	0.11947
1820	0.11947
1819	0.12866
1818	0.07352
1817	0.06433
1816	0.06433
1815	0.0919
1814	0.06433
1813	0.06433
1812	0.12866
1811	0.10109
1810	0.07352
1809	0.14704
1808	0.11947
1807	0.17461
1806	0.11947
1805	0.11947
1804	0.06433
1803	0.11947
1802	0.14704
1801	0.08271
1800	0.06433
1799	0.07352
1798	0.11028
1797	0.10109
1796	0.10109
1795	0.0919
1794	0.14704
1793	0.08271
1792	0.0919
1791	0.07352
1790	0.12866
1789	0.0919
1788	0.07352
1787	0.20218
1786	0.08271
1785	0.08271
1784	0.06433
1783	0.06433
1782	0.07352
1781	0.11028
1780	0.11028
1779	0.06433
1778	0.11028
1777	0.14704
1776	0.05514
1775	0.11947
1774	0.10109
1773	0.11028
1772	0.11947
1771	0.07352
1770	0.10109
1769	0.07352
1768	0.15623
1767	0.08271
1766	0.12866
1765	0.05514
1764	0.05514
1763	0.11028
1762	0.11028
1761	0.13785
1760	0.13785
1759	0.10109
1758	0.0919
1757	0.11028
1756	0.12866
1755	0.11028
1754	0.06433
1753	0.06433
1752	0.11947
1751	0.11947
1750	0.06433
1749	0.08271
1748	0.06433
1747	0.11947
1746	0.0919
1745	0.0919
1744	0.10109
1743	0.11028
1742	0.04595
1741	0.13785
1740	0.07352
1739	0.17461
1738	0.10109
1737	0.10109
1736	0.13785
1735	0.17461
1734	0.07352
1733	0.10109
1732	0.13785
1731	0.07352
1730	0.11028
1729	0.08271
1728	0.0919
1727	0.16542
1726	0.05514
1725	0.13785
1724	0.15623
1723	0.12866
1722	0.10109
1721	0.11028
1720	0.11028
1719	0.06433
1718	0.14704
1717	0.11947
1716	0.0919
1715	0.13785
1714	0.0919
1713	0.08271
1712	0.07352
1711	0.06433
1710	0.0607459
1709	0.0632272
1708	0.0804125
1707	0.0674546
1706	0.0961274
1705	0.0831695
1704	0.110372
1703	0.122043
1702	0.0820667
1701	0.0462257
1700	0.0824343
1699	0.0695683
1698	0.0464095
1697	0.0770122
1696	0.0641462
1695	0.0729686
1694	0.0831695
1693	0.116621
1692	0.0903377
1691	0.128201
1690	0.077196
1689	0.109177
1688	0.0727848
1687	0.108993
1686	0.0783907
1685	0.102836
1684	0.0852832
1683	0.124157
1682	0.096495
1681	0.0819748
1680	0.076277
1679	0.122687
1678	0.131785
1677	0.114783
1676	0.118092
1675	0.0979654
1674	0.102469
1673	0.122962
1672	0.125903
1671	0.103939
1670	0.105409
1669	0.118551
1668	0.114599
1667	0.101825
1666	0.0829857
1665	0.0862941
1664	0.151084
1663	0.0555995
1662	0.135369
1661	0.103479
1660	0.0912567
1659	0.0760932
1658	0.0566104
1657	0.110004
1656	0.0919
1655	0.118367
1654	0.145386
1653	0.116162
1652	0.128568
1651	0.0899701
1650	0.123422
1649	0.148786
1648	0.0837209
1647	0.0998034
1646	0.115702
1645	0.150624
1644	0.107431
1643	0.0852832
1642	0.0756337
1641	0.0939218
1640	0.0674546
1639	0.121308
1638	0.0975059
1637	0.142813
1636	0.112302
1635	0.0934623
1634	0.0438363
1633	0.125719
1632	0.13252
1631	0.0899701
1630	0.148235
1629	0.0860184
1628	0.108442
1627	0.0794016
1626	0.125627
1625	0.0481556
1624	0.0706711
1623	0.134817
1622	0.083629
1621	0.0659842
1620	0.069844
1619	0.0954841
1618	0.136012
1617	0.111015
1616	0.110556
1615	0.0921757
1614	0.0754499
1613	0.120389
1612	0.102193
1611	0.0869374
1610	0.0987925
1609	0.0851913
1608	0.0954841
1607	0.0970464
1606	0.0987006
1605	0.0913486
1604	0.100447
1603	0.078115
1602	0.0887754
1601	0.0647895
1600	0.108534
1599	0.126822
1598	0.0952084
1597	0.101366
1596	0.0923595
1595	0.0833533
1594	0.116713
1593	0.0971383
1592	0.104766
1591	0.0986087
1590	0.181778
1589	0.131601
1588	0.149705
1587	0.0931866
1586	0.0889592
1585	0.130406
1584	0.108442
1583	0.137758
1582	0.0612054
1581	0.0676384
1580	0.0801368
1579	0.074439
1578	0.124525
1577	0.095576
1576	0.121216
1575	0.121032
1574	0.137482
1573	0.0738876
1572	0.102744
1571	0.150165
1570	0.0913486
1569	0.0916243
1568	0.10881
1567	0.123054
1566	0.142077
1565	0.147316
1564	0.0715901
1563	0.051464
1562	0.0828019
1561	0.103388
1560	0.0957598
1559	0.11175
1558	0.111934
1557	0.110004
1556	0.106604
1555	0.106328
1554	0.113772
1553	0.0995277
1552	0.0884078
1551	0.0913486
1550	0.0877645
1549	0.122778
1548	0.0776555
1547	0.0929109
1546	0.079953
1545	0.10155
1544	0.0919
1543	0.126638
1542	0.0890511
1541	0.0737038
1540	0.106512
1539	0.0856508
1538	0.0880402
1537	0.0675465
1536	0.114048
1535	0.11754
1534	0.120205
1533	0.0809639
1532	0.0932785
1531	0.0899701
1530	0.14851
1529	0.109545
1528	0.0769203
1527	0.0768284
1526	0.0934623
1525	0.112945
1524	0.0775636
1523	0.0667194
1522	0.0967707
1521	0.0648814
1520	0.099252
1519	0.0981492
1518	0.116989
1517	0.13013
1516	0.0862022
1515	0.0943813
1514	0.0949327
1513	0.0875807
1512	0.0627677
1511	0.0804125
1510	0.123054
1509	0.105409
1508	0.120849
1507	0.0719577
1506	0.0968626
1505	0.0857427
1504	0.078115
1503	0.0731524
1502	0.103755
1501	0.124892
1500	0.0805963
1499	0.0930028
1498	0.16542
1497	0.0820667
1496	0.0879483
1495	0.0718658
1494	0.0839966
1493	0.0731524
1492	0.0732443
1491	0.0843642
1490	0.0892349
1489	0.079953
1488	0.0816991
1487	0.0663518
1486	0.103296
1485	0.0705792
1484	0.0774717
1483	0.0361167
1482	0.0554157
1481	0.0813315
1480	0.121676
1479	0.0870293
1478	0.169647
1477	0.0700278
1476	0.0932785
1475	0.0776555
1474	0.108442
1473	0.0773798
1472	0.0850075
1471	0.107982
1470	0.107799
1469	0.123146
1468	0.0771041
1467	0.0850075
1466	0.0697521
1465	0.108718
1464	0.124616
1463	0.124984
1462	0.156781
1461	0.117908
1460	0.110372
1459	0.110648
1458	0.0475123
1457	0.054221
1456	0.11947
1455	0.11947
1454	0.07352
1453	0.10109
1452	0.08271
1451	0.08271
1450	0.11947
