B29_Schwager_Age_a_AD_	B29_Schwager_Accmrate_we
1994	0.166339
1993	0.135093
1992	0.13785
1991	0.118551
1990	0.086386
1989	0.143364
1988	0.134174
1987	0.136931
1986	0.134174
1985	0.164501
1984	0.155311
1983	0.078115
1982	0.115794
1981	0.147959
1980	0.116713
1979	0.107523
1978	0.157149
1977	0.113956
1976	0.163582
1975	0.166339
1974	0.143364
1973	0.135093
1972	0.129579
1971	0.167258
1970	0.126822
1969	0.123146
1968	0.131417
1967	0.170934
1966	0.133255
1965	0.135093
1964	0.120389
1963	0.136931
1962	0.105685
1961	0.136931
1960	0.123146
1959	0.134174
1958	0.106604
1957	0.13785
1956	0.141526
1955	0.175529
1954	0.176448
1953	0.160825
1952	0.150716
1951	0.13785
1950	0.088224
1949	0.097414
1948	0.176448
1947	0.090062
1946	0.140607
1945	0.182881
1944	0.113956
1943	0.085467
1942	0.13785
1941	0.158068
1940	0.146121
1939	0.177367
1938	0.133255
1937	0.154392
1936	0.120389
1935	0.10109
1934	0.169096
1933	0.186557
1932	0.145202
1931	0.1838
1930	0.157149
1929	0.115794
1928	0.190233
1927	0.135093
1926	0.114875
1925	0.14704
1924	0.092819
1923	0.136012
1922	0.124065
1921	0.124984
1920	0.120389
1919	0.133255
1918	0.102009
1917	0.127741
1916	0.175529
1915	0.16542
1914	0.127741
1913	0.15623
1912	0.158068
1911	0.127741
1910	0.0919
1909	0.123146
1908	0.133255
1907	0.224236
1906	0.151635
1905	0.147959
1904	0.092819
1903	0.148878
1902	0.124065
1901	0.142445
1900	0.094657
1899	0.118551
1898	0.121308
1897	0.124065
1896	0.178286
1895	0.150716
1894	0.133255
1893	0.173691
1892	0.153473
1891	0.168177
1890	0.097414
1889	0.146121
1888	0.141526
1887	0.142445
1886	0.171853
1885	0.158068
1884	0.158987
1883	0.113956
1882	0.096495
1881	0.159906
1880	0.146121
1879	0.160825
1878	0.231588
1877	0.125903
1876	0.185638
1875	0.143364
1874	0.179205
1873	0.16542
1872	0.117632
1871	0.088224
1870	0.170934
1869	0.109361
1868	0.124984
1867	0.151635
1866	0.16542
1865	0.118551
1864	0.134174
1863	0.150716
1862	0.15623
1861	0.122227
1860	0.177367
1859	0.159906
1858	0.124065
1857	0.15623
1856	0.141526
1855	0.158068
1854	0.135093
1853	0.146121
1852	0.188395
1851	0.150716
1850	0.115794
1849	0.163582
1848	0.148878
1847	0.112118
1846	0.146121
1845	0.178286
1844	0.112118
1843	0.135093
1842	0.135093
1841	0.109361
1840	0.11028
1839	0.145202
1838	0.212289
1837	0.107523
1836	0.112118
1835	0.120389
1834	0.178286
1833	0.139688
1832	0.130498
1831	0.129579
1830	0.143364
1829	0.194828
1828	0.123146
1827	0.144283
1826	0.184719
1825	0.157149
1824	0.118551
1823	0.132336
1822	0.135093
1821	0.104766
1820	0.172772
1819	0.098333
1818	0.111199
1817	0.102009
1816	0.141526
1815	0.094657
1814	0.148878
1813	0.117632
1812	0.149797
1811	0.181962
1810	0.150716
1809	0.123146
1808	0.13785
1807	0.182881
1806	0.108442
1805	0.142445
1804	0.188395
1803	0.208613
1802	0.135093
1801	0.142445
1800	0.116713
1799	0.17461
1798	0.094657
1797	0.150716
1796	0.151635
1795	0.144283
1794	0.15623
1793	0.124065
1792	0.14704
1791	0.17461
1790	0.088224
1789	0.144283
1788	0.152554
1787	0.167258
1786	0.170015
1785	0.177367
1784	0.184719
1783	0.093738
1782	0.11947
1781	0.126822
1780	0.107523
1779	0.160825
1778	0.129579
1777	0.111199
1776	0.127741
1775	0.148878
1774	0.144283
1773	0.122227
1772	0.131417
1771	0.148878
1770	0.113037
1769	0.188395
1768	0.136012
1767	0.10109
1766	0.180124
1765	0.118551
1764	0.163582
1763	0.167258
1762	0.115794
1761	0.124984
1760	0.126822
1759	0.146121
1758	0.168177
1757	0.151635
1756	0.087305
1755	0.142445
1754	0.094657
1753	0.178286
1752	0.201261
1751	0.182881
1750	0.131417
1749	0.100171
1748	0.178286
1747	0.11947
1746	0.145202
1745	0.200342
1744	0.113956
1743	0.103847
1742	0.133255
1741	0.116713
