Year,NEGIS
2011,-33.09
2010,-37.76
2009,-32.38
2008,-33.58
2007,-38.88
2006,-37.73
2005,-35.56
2004,-34.53
2003,-34.4
2002,-32.2
2001,-31.87
2000,-34.87
1999,-32.19
1998,-37.99
1997,-37.04
1996,-37.7
1995,-41.47
1994,-38.63
1993,-37.4
1992,-37.04
1991,-38.83
1990,-36.73
1989,-37.88
1988,-38.48
1987,-35.79
1986,-34.34
1985,-34.47
1984,-34.19
1983,-36.74
1982,-36.37
1981,-37.21
1980,-36.35
1979,-35.44
1978,-37.22
1977,-37.61
1976,-38.24
1975,-39.05
1974,-39.48
1973,-37.77
1972,-36.7
1971,-39.03
1970,-36.46
1969,-35.71
1968,-35.41
1967,-36.12
1966,-35.15
1965,-36.61
1964,-36.33
1963,-35.67
1962,-35.58
1961,-34.22
1960,-35.37
1959,-36.97
1958,-34.78
1957,-35.73
1956,-36.06
1955,-35.97
1954,-35.76
1953,-37.78
1952,-38.75
1951,-36.72
1950,-34.48
1949,-38.39
1948,-37.68
1947,-35.2
1946,-34.87
1945,-36.07
1944,-38.58
1943,-37.45
1942,-35.44
1941,-33.87
1940,-33.39
1939,-32.58
1938,-33.2
1937,-35.32
1936,-37.31
1935,-36.79
1934,-35.69
1933,-35.04
1932,-34.17
1931,-35.02
1930,-33.63
1929,-35.21
1928,-36.42
1927,-35.33
1926,-33.62
1925,-32.98
1924,-33.78
1923,-34.58
1922,-34.41
1921,-33.69
1920,-33.46
1919,-36.12
1918,-36.78
1917,-35.34
1916,-34.56
1915,-34.33
1914,-33.9
1913,-36.23
1912,-35.77
1911,-36.16
1910,-37.12
1909,-37.7
1908,-37.58
1907,-35.73
1906,-34.12
1905,-36.53
1904,-37.17
1903,-37.88
1902,-38.2
1901,-37.17
1900,-36.71
1899,-36.97
1898,-37.26
1897,-36.96
1896,-36.19
1895,-34.89
1894,-34.58
1893,-35.55
1892,-35.95
1891,-34.79
1890,-35.12
1889,-35.99
1888,-34.01
1887,-34.89
1886,-35.97
1885,-36.17
1884,-36.77
1883,-37.81
1882,-37.99
1881,-37.62
1880,-36.66
1879,-37.85
1878,-36.27
1877,-35.29
1876,-34.33
1875,-32.22
1874,-33
1873,-35.66
1872,-36.58
1871,-37.29
1870,-36.49
1869,-35.5
1868,-35.72
1867,-39.09
1866,-39.08
1865,-36.49
1864,-36.43
1863,-37.04
1862,-36.67
1861,-36.45
1860,-36.61
1859,-37.61
1858,-37.89
1857,-37.03
1856,-36.88
1855,-36.87
1854,-36.72
1853,-37.33
1852,-37.95
1851,-36.97
1850,-36.28
1849,-36.09
1848,-36.25
1847,-37.54
1846,-37.87
1845,-36.62
1844,-36.17
1843,-36.61
1842,-37.01
1841,-37.64
1840,-38.31
1839,-38.07
1838,-37.13
1837,-38.43
1836,-38.04
1835,-39.58
1834,-39.42
1833,-38.79
1832,-38.14
1831,-37.81
1830,-37.37
1829,-36.3
