Year (AD)	B18_2012 topdepth (m)	B18_2012 bottomdepth (m)
2012		0.15842
2011	0.15842	0.65632
2010	0.65632	0.97532
2009	0.97532	1.31
2008	1.31	1.8625
2007	1.8625	2.232
2006	2.232	2.522
2005	2.522	2.7327
2004	2.7327	3.128
2003	3.128	3.395
2002	3.395	3.7703
2001	3.7703	3.99
2000	3.99	4.365
1999	4.365	4.616
1998	4.616	4.868
1997	4.868	5.109
1996	5.109	5.378
1995	5.378	5.665
1994	5.665	5.855
1993	5.855	5.975
1992	5.975	6.114
1991	6.114	6.361
1990	6.361	6.614
1989	6.614	6.7625
1988	6.7625	7.0375
1987	7.0375	7.2625
1986	7.2625	7.38
1985	7.38	7.533
1984	7.533	7.685
1983	7.685	7.96
1982	7.96	8.095
1981	8.095	8.33
1980	8.33	8.615
1979	8.615	8.795
1978	8.795	8.9875
1977	8.9875	9.12
1976	9.12	9.255
1975	9.255	9.41
1974	9.41	9.515
1973	9.515	9.74
1972	9.74	9.945
1971	9.945	10.165
1970	10.165	10.445
1969	10.445	10.585
1968	10.585	10.845
1967	10.845	11.004
1966	11.004	11.13
1965	11.13	11.36
1964	11.36	11.55
1963	11.55	11.705
1962	11.705	11.798
1961	11.798	11.93
1960	11.93	12.113
1959	12.113	12.293
1958	12.293	12.411
1957	12.411	12.563
1956	12.563	12.768
1955	12.768	13.005
1954	13.005	13.26
1953	13.26	13.445
1952	13.445	13.71
1951	13.71	13.851
1950	13.851	14.04
1949	14.04	14.29
1948	14.29	14.62
1947	14.62	14.825
1946	14.825	15.1125
1945	15.1125	15.375
1944	15.375	15.575
1943	15.575	15.735
1942	15.735	15.925
1941	15.925	16.078
1940	16.078	16.27
1939	16.27	16.438
1938	16.438	16.65
1937	16.65	16.884
1936	16.884	17.1125
1935	17.1125	17.31
1934	17.31	17.465
1933	17.465	17.685
1932	17.685	17.915
1931	17.915	18.054
1930	18.054	18.297
1929	18.297	18.435
1928	18.435	18.66
1927	18.66	18.839
1926	18.839	18.995
1925	18.995	19.37
1924	19.37	19.738
1923	19.738	19.947
1922	19.947	20.109
1921	20.109	20.245
1920	20.245	20.455
1919	20.455	20.635
1918	20.635	20.775
1917	20.775	21.005
1916	21.005	21.25
1915	21.25	21.415
1914	21.415	21.6
1913	21.6	21.845
1912	21.845	22.065
1911	22.065	22.33
1910	22.33	22.51
1909	22.51	22.639
1908	22.639	22.795
1907	22.795	23.005
1906	23.005	23.2136
1905	23.2136	23.377
1904	23.377	23.532
1903	23.532	23.738
1902	23.738	23.923
1901	23.923	24.175
1900	24.175	24.43
1899	24.43	24.597
1898	24.597	24.735
1897	24.735	24.819
1896	24.819	24.994
1895	24.994	25.122
1894	25.122	25.259
1893	25.259	25.385
1892	25.385	25.526
1891	25.526	25.627
1890	25.627	25.782
1889	25.782	26.02
1888	26.02	26.162
1887	26.162	26.375
1886	26.375	26.485
1885	26.485	26.631
1884	26.631	26.825
1883	26.825	27.005
1882	27.005	27.14
1881	27.14	27.41
1880	27.41	27.575
1879	27.575	27.78
1878	27.78	27.99
1877	27.99	28.16
1876	28.16	28.3375
1875	28.3375	28.49
1874	28.49	28.64
1873	28.64	28.833
1872	28.833	29.005
1871	29.005	29.11
1870	29.11	29.24
1869	29.24	29.41
1868	29.41	29.514
1867	29.514	29.64
1866	29.64	29.875
1865	29.875	29.985
1864	29.985	
