B21_2012_Year__AD_	B21_2012_accmrate_we
2012	
2011	0.124414
2010	0.083813
2009	0.113796
2008	0.0808711
2007	0.155539
2006	0.0934753
2005	0.102152
2004	0.0777638
2003	0.144649
2002	0.127402
2001	0.0757766
2000	0.109223
1999	0.1454
1998	0.170087
1997	0.0727663
1996	0.135842
1995	0.142421
1994	0.133408
1993	0.105148
1992	0.0456848
1991	0.178469
1990	0.0889514
1989	0.0557932
1988	0.140055
1987	0.155831
1986	0.154455
1985	0.0992933
1984	0.105215
1983	0.0717399
1982	0.08642
1981	0.0757862
1980	0.052038
1979	0.0919692
1978	0.0607376
1977	0.0653375
1976	0.13272
1975	0.057611
1974	0.0862116
1973	0.0486259
1972	0.129557
1971	0.0975389
1970	0.0588539
1969	0.0570804
1968	0.0790915
1967	0.083925
1966	0.0922753
1965	0.0587444
1964	0.0767472
1963	0.0963341
1962	0.115519
1961	0.063766
1960	0.140288
1959	0.089127
1958	0.0502924
1957	0.0669839
1956	0.0993826
1955	0.101606
1954	0.116033
1953	0.133874
1952	0.0825632
1951	0.0988752
1950	0.109872
1949	0.0903184
1948	0.0639184
1947	0.075316
1946	0.101241
1945	0.0995759
1944	0.112394
1943	0.121348
1942	0.119107
1941	0.0976788
1940	0.164514
1939	0.168682
1938	0.135263
1937	0.0821095
1936	0.0861824
1935	0.166581
1934	0.130364
1933	0.125441
1932	0.114551
1931	0.115303
1930	0.107918
1929	0.140659
1928	0.139377
1927	0.0918016
1926	0.139715
1925	0.126188
1924	0.0977798
1923	0.11033
1922	0.0810151
1921	0.0808799
1920	0.153038
1919	0.152505
1918	0.0817785
1917	0.106678
1916	0.125987
1915	0.199126
1914	0.251163
1913	0.172263
1912	0.145918
1911	0.193971
1910	0.319666
1909	0.112668
1908	0.203814
1907	0.183673
1906	0.147852
1905	0.186209
1904	0.0886101
1903	0.151217
1902	0.1396
1901	0.125605
1900	0.128988
1899	0.197362
1898	0.189001
1897	0.240379
1896	0.296765
1895	0.21787
1894	0.13195
1893	0.323037
1892	0.172803
1891	0.20013
1890	0.169408
1889	0.275783
1888	0.158865
1887	0.133087
1886	0.133087
