B21_2012 depth (m) center	B21_2012 d18O (permil)
0.01078945	-39.428749
0.03236835	-39.715248
0.05394725	-39.653751
0.07552615	-39.070251
0.09710505	-37.834999
0.11868395	-35.540501
0.14026285	-32.299
0.16184175	-30.802
0.18342065	-30.19475
0.20499955	-30.125999
0.22657845	-30.720501
0.24815735	-30.0135
0.26973625	-29.39175
0.29131515	-27.576
0.31289405	-26.782001
0.33447295	-27.45125
0.35605185	-27.57
0.37763075	-28.734499
0.39920965	-29.679001
0.42078855	-31.095249
0.44236745	-31.950748
0.46394635	-31.348999
0.48552525	-31.9445
0.50710415	-31.637501
0.52868305	-32.501499
0.55026195	-32.56575
0.57184085	-31.521
0.59341975	-31.321751
0.61499865	-31.58325
0.63657755	-31.7675
0.65815645	-33.113503
0.67973535	-33.016251
0.70131425	-33.901749
0.72289315	-33.540253
0.74447205	-33.818249
0.76605095	-33.751751
0.78762985	-34.981251
0.80920875	-35.055248
0.836	-32.868
0.884	-32.657749
0.908	-33.259251
0.932	-33.784752
0.956	-34.310501
0.956	-34.199501
0.98	-34.622002
1.004	-34.528999
1.028	-33.925751
1.052	-32.285999
1.076	-31.4485
1.1	-30.86525
1.124	-30.6695
1.148	-31.367001
1.172	-33.14875
1.196	-34.582748
1.22	-35.70425
1.244	-36.924252
1.268	-37.723499
1.292	-38.074501
1.316	-38.065498
1.34	-37.742001
1.364	-37.308502
1.37	-36.887001
1.39	-36.352749
1.41	-35.923752
1.43	-35.42775
1.45	-34.68475
1.47	-33.66275
1.49	-32.60025
1.51	-32.008251
1.53	-31.271
1.55	-30.848
1.57	-30.306
1.59	-30.115749
1.61	-30.398001
1.63	-31.63975
1.65	-32.6745
1.67	-33.341751
1.69	-34.653252
1.71	-35.288498
1.73	-35.94025
1.75	-36.549999
1.77	-36.9655
1.79	-37.143501
1.81	-36.980247
1.83	-36.5425
1.85	-35.959251
1.87	-35.316002
1.89	-34.218498
1.91	-33.503502
1.93	-32.796749
1.95	-32.130001
1.97	-32.087498
1.99	-32.102249
2.01173913	-33.192249
2.03347826	-32.9235
2.05521739	-32.762749
2.07695652	-32.7775
2.09869565	-32.444748
2.12043478	-32.2495
2.14217391	-32.551498
2.163752857	-31.866501
2.185491987	-32.480751
2.207231117	-32.781998
2.228970247	-32.926998
2.250709377	-32.874249
2.272448507	-33.277752
2.294187637	-33.06675
2.315926767	-33.364502
2.337665897	-32.708
2.359405027	-33.007
2.381144157	-32.73225
2.402883287	-32.970749
2.424622417	-32.888248
2.446361547	-33.367752
2.468100677	-32.747749
2.489839807	-33.329498
2.511578937	-33.053501
2.533318067	-33.938999
2.555057197	-34.216
2.576796327	-34.222
2.598535457	-34.209
2.620274587	-33.87875
2.642013717	-34.124748
2.663752847	-33.31675
2.685491977	-33.369247
2.707231107	-33.100498
2.728970237	-32.826
2.750709367	-33.0065
2.772448497	-33.337997
2.794187627	-33.24675
2.815926757	-33.821999
2.837665887	-34.249001
2.859405017	-35.37225
2.881144147	-36.081001
2.902883277	-36.707249
2.924622407	-36.924248
2.946361537	-37.18
2.968100667	-37.0825
2.989839797	-37.235748
3.011578927	-35.4175
