'B26-2011_Year_AD'	B26_2011_we_accmrate
2010	0.222882
2009	0.175175
2008	0.125215
2007	0.126781
2006	0.16767
2005	0.175585
2004	0.0732643
2003	0.14765
2002	0.210123
2001	0.200785
2000	0.131139
1999	0.125581
1998	0.239733
1997	0.146304
1996	0.191934
1995	0.194728
1994	0.216642
1993	0.211555
1992	0.187995
1991	0.201057
1990	0.169713
1989	0.159292
1988	0.13703
1987	0.206381
1986	0.18801
1985	0.17388
1984	0.159298
1983	0.237592
1982	0.143491
1981	0.142425
1980	0.120788
1979	0.176888
1978	0.192241
1977	0.165258
1976	0.220467
1975	0.152372
1974	0.182283
1973	0.240958
1972	0.157723
1971	0.251588
1970	0.148439
1969	0.248508
1968	0.131661
1967	0.176439
1966	0.236622
1965	0.240056
1964	0.195174
1963	0.180772
1962	0.196971
1961	0.214695
1960	0.24649
1959	0.229771
1958	0.116216
1957	0.188182
1956	0.148956
1955	0.233037
1954	0.171343
1953	0.220964
1952	0.174129
1951	0.181145
1950	0.13519
1949	0.205065
1948	0.174674
1947	0.192008
1946	0.166976
1945	0.217028
1944	0.179894
1943	0.226976
1942	0.210631
1941	0.229154
1940	0.214445
1939	0.22847
1938	0.181227
1937	0.118657
1936	0.193412
1935	0.156588
1934	0.175939
1933	0.291174
1932	0.229352
1931	0.277537
1930	0.16096
1929	0.178089
1928	0.263678
