Year (AD)	NGRIP_2012 topdepth (m) 	NGRIP_2012 bottomdepth (m)
2012	0	0.09
2011	0.09	0.57
2010	0.57	0.945
2009	0.945	1.353
2008	1.353	1.775
2007	1.775	2.139
2006	2.139	2.528
2005	2.528	2.833
2004	2.833	3.345
2003	3.345	3.758
2002	3.758	4.278
2001	4.278	4.694
2000	4.694	5.108
1999	5.108	5.541
1998	5.541	6
1997	6	6.324
1996	6.324	6.757
1995	6.757	7.124
1994	7.124	7.667
1993	7.667	8.081
1992	8.081	8.351
1991	8.351	8.703
1990	8.703	9.1
1989	9.1	9.375
1988	9.375	9.55
1987	9.55	9.95
1986	9.95	10.325
1985	10.325	10.625
1984	10.625	11
1983	11	11.325
1982	11.325	11.625
1981	11.625	11.925
1980	11.925	12.225
1979	12.225	12.575
1978	12.575	12.875
1977	12.875	13.025
1976	13.025	13.25
1975	13.25	13.6
1974	13.6	13.95
1973	13.95	14.325
1972	14.325	14.55
1971	14.55	14.9
1970	14.9	15.231
1969	15.231	15.538
1968	15.538	15.846
1967	15.846	16.098
1966	16.098	16.439
1965	16.439	16.707
1964	16.707	
