B18_Year__AD_	B18_2012_accmrate_we
2012	0.057181
2011	0.166173
2010	0.103291
2009	0.103805
2008	0.192149
2007	0.144003
2006	0.10613
2005	0.083416
2004	0.141541
2003	0.088971
2002	0.138808
2001	0.0785478
2000	0.14401
1999	0.10034
1998	0.0980183
1997	0.0986928
1996	0.10725
1995	0.116189
1994	0.0798096
1993	0.0519187
1992	0.0620085
1991	0.107701
1990	0.112037
1989	0.0601518
1988	0.114886
1987	0.0996609
1986	0.0531286
1985	0.0662333
1984	0.0628255
1983	0.120695
1982	0.0640746
1981	0.111314
1980	0.130176
1979	0.0831925
1978	0.0887541
1977	0.0591194
1976	0.0635931
1975	0.0709201
1974	0.0511598
1973	0.109703
1972	0.0955344
1971	0.105746
1970	0.138379
1969	0.0682483
1968	0.129221
1967	0.0788855
1966	0.0604383
1965	0.108041
1964	0.0913687
1963	0.0748565
1962	0.0451724
1961	0.0610563
1960	0.0911904
1959	0.0892362
1958	0.0593505
1957	0.077422
1956	0.10394
1955	0.122531
1954	0.129954
1953	0.0962192
1952	0.136153
1951	0.073537
1950	0.0981872
1949	0.133256
1948	0.175012
1947	0.108049
1946	0.148288
1945	0.141052
1944	0.104816
1943	0.0836924
1942	0.0999206
1941	0.0817157
1940	0.102561
1939	0.0929881
1938	0.116048
1937	0.127791
1936	0.12672
1935	0.108824
1934	0.0866995
1933	0.123175
1932	0.132337
1931	0.0776253
1930	0.13575
1929	0.0778261
1928	0.12572
1927	0.0989236
1926	0.0887698
1925	0.211962
1924	0.206458
1923	0.119392
1922	0.094541
1921	0.0777643
1920	0.120474
1919	0.106015
1918	0.08299
1917	0.135471
1916	0.14139
1915	0.0948379
1914	0.109372
1913	0.143961
1912	0.128582
1911	0.157037
1910	0.106184
1909	0.0761543
1908	0.0950925
1907	0.12199
1906	0.12618
1905	0.101976
1904	0.0955246
1903	0.126008
1902	0.112156
1901	0.152392
1900	0.156747
1899	0.100424
1898	0.0851668
1897	0.0512819
1896	0.107712
1895	0.0792508
1894	0.0839191
1893	0.0761897
1892	0.0849389
1891	0.0619198
1890	0.0950844
1889	0.147927
1888	0.0879527
1887	0.134253
1886	0.0701991
1885	0.0918487
1884	0.12128
1883	0.112861
1882	0.0841306
1881	0.171244
1880	0.105053
1879	0.128323
1878	0.131522
1877	0.107395
1876	0.113238
1875	0.0967167
1874	0.0941243
1873	0.123005
1872	0.108816
1871	0.0660241
1870	0.0817442
1869	0.106896
1868	0.0653953
1867	0.079229
1866	0.147768
1865	0.0691682
1864	
