Year	B21_12
2011	-31.39
2010	-32.19
2009	-33.84
2008	-34.05
2007	-33.96
2006	-34.68
2005	-32.74
2004	-33.07
2003	-34.38
2002	-33.09
2001	-31.16
2000	-31.12
1999	-32.39
1998	-32.74
1997	-34.1
1996	-33.62
1995	-34.98
1994	-31.83
1993	-30.6
1992	-33.54
1991	-33.75
1990	-35.12
1989	-36.75
1988	-37.58
1987	-33.87
1986	-32.47
1985	-33.88
1984	-32.18
1983	-33.22
1982	-34.93
1981	-35.71
1980	-32.15
1979	-32.26
1978	-32.92
1977	-32.55
1976	-33.16
1975	-32.14
1974	-30.67
1973	-32.41
1972	-33.33
1971	-33.41
1970	-32.3
1969	-31.93
1968	-31.55
1967	-31.75
1966	-32.06
1965	-35.36
1964	-37.23
1963	-35.33
1962	-33.71
1961	-34.35
1960	-33.2
1959	-30.75
1958	-31.23
1957	-33.16
1956	-34.34
1955	-34.06
1954	-34.49
1953	-33.88
1952	-32.5
1951	-33.63
1950	-34.04
1949	-33.42
1948	-33.86
1947	-34.63
1946	-35.21
1945	-35.16
1944	-34.19
1943	-33.94
1942	-32.5
1941	-34.8
1940	-37.84
1939	-37.14
1938	-33.97
1937	-33.25
1936	-32.07
1935	-33.05
1934	-37.07
1933	-36.12
1932	-34.23
1931	-31.11
1930	-30.91
1929	-34.74
1928	-35.31
1927	-34.6
1926	-34.42
1925	-34.5
1924	-34.69
1923	-33.12
1922	-32.65
1921	-32.53
1920	-34.43
1919	-35.44
1918	-35.59
1917	-35.66
1916	-34.65
1915	-35.42
1914	-34.22
1913	-33.04
1912	-32.98
1911	-34.28
1910	-35
1909	-35.64
1908	-34.79
1907	-33.64
1906	-34.32
1905	-32.64
1904	-32.58
1903	-33.9
1902	-33.98
1901	-34.3
1900	-37.29
1899	-37.18
1898	-34.06
1897	-33.7
1896	-34.04
1895	-35.2
1894	-34.49
1893	-32.89
1892	-33.36
1891	-32.36
1890	-33.19
1889	-31.96
1888	-33.27
1887	-35.17
