B23_2012_Year__AD	B23_2012_accm
2012	0.0504865
2011	0.171296
2010	0.194764
2009	0.147538
2008	0.120469
2007	0.0911906
2006	0.102525
2005	0.167622
2004	0.0993621
2003	0.0629088
2002	0.077082
2001	0.12575
2000	0.159475
1999	0.136648
1998	0.132518
1997	0.0791049
1996	0.0520249
1995	0.0985579
1994	0.135581
1993	0.0824685
1992	0.113517
1991	0.05116
1990	0.155109
1989	0.115481
1988	0.084038
1987	0.0921828
1986	0.0614489
1985	0.108914
1984	0.113604
1983	0.118335
1982	0.115564
1981	0.0766545
1980	0.138963
1979	0.119183
1978	0.148543
1977	0.0841122
1976	0.113921
1975	0.114265
1974	0.101814
1973	0.106926
1972	0.115398
1971	0.086768
1970	0.200606
1969	0.131582
1968	0.153222
1967	0.123608
1966	0.0996037
1965	0.148301
1964	0.132374
1963	0.112487
1962	0.0916233
1961	0.105309
1960	0.147427
1959	0.158209
1958	0.104208
1957	0.138136
1956	0.0730212
1955	0.115034
1954	0.139341
1953	0.152333
1952	0.174119
1951	0.153153
1950	0.119998
1949	0.0876832
1948	0.110557
1947	0.119383
1946	0.131354
1945	0.111187
1944	0.21203
1943	0.101909
1942	0.123947
1941	0.124128
1940	0.090366
1939	0.147103
1938	0.159862
1937	0.178627
1936	0.0934031
1935	0.105335
1934	0.104527
1933	0.0926209
1932	0.135625
1931	0.0639978
1930	0.0933769
1929	0.0700118
1928	0.117976
1927	0.103644
1926	0.152974
1925	0.106171
1924	0.200946
1923	0.0820037
1922	0.0709137
1921	0.112954
1920	0.126436
1919	0.0967846
1918	0.0959987
1917	0.121457
1916	0.195133
1915	0.172166
1914	0.0856104
1913	0.208533
1912	0.1462
1911	0.236325
1910	0.123522
1909	0.148795
1908	0.122777
1907	0.124025
1906	0.185979
1905	0.124972
1904	0.0996202
1903	0.148837
1902	0.140329
1901	0.149805
1900	0.100988
1899	0.115286
1898	0.102361
1897	0.154115
1896	0.115422
1895	0.153329
1894	0.113831
1893	0.0763692
1892	0.0771665
1891	0.0906344
1890	0.128252
1889	0.103362
1888	0.126861
1887	0.102758
1886	0.131691
1885	0.104578
1884	0.0806317
1883	0.116607
1882	0.117986
1881	
