NGRIP__2012_Year__AD NGRIP_2012_accm
2011 0.15701
2010 0.130602
2009 0.136176
2008 0.14807
2007 0.126612
2006 0.14142
2005 0.103836
2004 0.188411
2003 0.151637
2002 0.203022
2001 0.156775
2000 0.162887
1999 0.173954
1998 0.19662
1997 0.132589
1996 0.190781
1995 0.165623
1994 0.251205
1993 0.200632
1992 0.127803
1991 0.166021
1990 0.19364
1989 0.129041
1988 0.0819935
1987 0.191955
1986 0.185457
1985 0.148255
1984 0.187452
1983 0.164889
1982 0.150025
1981 0.152232
1980 0.154662
1979 0.181525
1978 0.159466
1977 0.0830317
1976 0.117259
1975 0.182735
1974 0.18946
1973 0.196182
1972 0.118069
1971 0.187867
1970 0.179914
1969 0.166519
1968 0.168693
1967 0.140968
1966 0.185942
1965 0.145882
