Year	NGRIP_12
2011	-35.24
2010	-32.74
2009	-29.71
2008	-35.21
2007	-36.87
2006	-37.06
2005	-35.54
2004	-34.24
2003	-35.16
2002	-33.75
2001	-33.81
2000	-35.07
1999	-34.68
1998	-34.66
1997	-34.45
1996	-35.07
1995	-37.08
1994	-35.62
1993	-35.91
1992	-37.41
1991	-36.51
1990	-35.04
1989	-33.75
1988	-35.16
1987	-36.29
1986	-34.39
1985	-36.05
1984	-34.17
1983	-32.19
1982	-35.68
1981	-36.97
1980	-39.44
1979	-35.09
1978	-36.65
1977	-37.7
1976	-34.36
1975	-34.52
1974	-33.48
1973	-34.18
1972	-35.4
1971	-34.01
1970	-36.27
1969	-35.79
1968	-35.98
1967	-36.18
1966	-33.84
1965	-34.7
