Time (dec. yrs),Time (yr CE),Month,t2m (degC)
1950.042,1950,1,-34.373
1950.125,1950,2,-39.896
1950.208,1950,3,-35.284
1950.292,1950,4,-34.281
1950.375,1950,5,-18.165
1950.458,1950,6,-10.747
1950.542,1950,7,-10.376
1950.625,1950,8,-15.874
1950.708,1950,9,-26.429
1950.792,1950,10,-31.548
1950.875,1950,11,-32.612
1950.958,1950,12,-35.706
1951.042,1951,1,-39.528
1951.125,1951,2,-40.107
1951.208,1951,3,-37.273
1951.292,1951,4,-31.641
1951.375,1951,5,-18.052
1951.458,1951,6,-12.549
1951.542,1951,7,-12.829
1951.625,1951,8,-16.320
1951.708,1951,9,-23.027
1951.792,1951,10,-36.417
1951.875,1951,11,-32.550
1951.958,1951,12,-43.096
1952.042,1952,1,-38.248
1952.125,1952,2,-37.920
1952.208,1952,3,-36.850
1952.292,1952,4,-31.831
1952.375,1952,5,-20.145
1952.458,1952,6,-14.709
1952.542,1952,7,-11.243
1952.625,1952,8,-15.336
1952.708,1952,9,-22.807
1952.792,1952,10,-28.756
1952.875,1952,11,-32.296
1952.958,1952,12,-36.896
1953.042,1953,1,-35.422
1953.125,1953,2,-38.179
1953.208,1953,3,-38.696
1953.292,1953,4,-29.209
1953.375,1953,5,-18.860
1953.458,1953,6,-11.970
1953.542,1953,7,-12.678
1953.625,1953,8,-16.236
1953.708,1953,9,-24.387
1953.792,1953,10,-33.614
1953.875,1953,11,-35.160
1953.958,1953,12,-38.435
1954.042,1954,1,-33.512
1954.125,1954,2,-32.517
1954.208,1954,3,-34.323
1954.292,1954,4,-27.751
1954.375,1954,5,-18.566
1954.458,1954,6,-11.386
1954.542,1954,7,-12.482
1954.625,1954,8,-14.508
1954.708,1954,9,-25.528
1954.792,1954,10,-31.155
1954.875,1954,11,-31.978
1954.958,1954,12,-36.479
1955.042,1955,1,-38.550
1955.125,1955,2,-35.880
1955.208,1955,3,-37.180
1955.292,1955,4,-27.141
1955.375,1955,5,-19.951
1955.458,1955,6,-11.728
1955.542,1955,7,-11.989
1955.625,1955,8,-17.273
1955.708,1955,9,-23.213
1955.792,1955,10,-24.213
1955.875,1955,11,-35.553
1955.958,1955,12,-39.867
1956.042,1956,1,-36.418
1956.125,1956,2,-32.763
1956.208,1956,3,-33.119
1956.292,1956,4,-30.321
1956.375,1956,5,-20.917
1956.458,1956,6,-14.240
1956.542,1956,7,-12.667
1956.625,1956,8,-14.882
1956.708,1956,9,-25.800
1956.792,1956,10,-30.493
1956.875,1956,11,-34.400
1956.958,1956,12,-33.750
1957.042,1957,1,-38.315
1957.125,1957,2,-38.438
1957.208,1957,3,-38.589
1957.292,1957,4,-31.199
1957.375,1957,5,-21.288
1957.458,1957,6,-13.008
1957.542,1957,7,-11.793
1957.625,1957,8,-17.294
1957.708,1957,9,-22.117
1957.792,1957,10,-30.213
1957.875,1957,11,-33.001
1957.958,1957,12,-40.822
1958.042,1958,1,-33.379
1958.125,1958,2,-35.291
1958.208,1958,3,-34.126
1958.292,1958,4,-27.062
1958.375,1958,5,-20.374
1958.458,1958,6,-13.274
1958.542,1958,7,-11.966
1958.625,1958,8,-21.423
1958.708,1958,9,-26.813
1958.792,1958,10,-30.822
1958.875,1958,11,-38.021
1958.958,1958,12,-35.610
1959.042,1959,1,-34.882
1959.125,1959,2,-39.905
1959.208,1959,3,-38.864
1959.292,1959,4,-29.729
1959.375,1959,5,-19.811
1959.458,1959,6,-12.979
1959.542,1959,7,-9.997
1959.625,1959,8,-19.267
1959.708,1959,9,-24.569
1959.792,1959,10,-27.005
1959.875,1959,11,-33.534
1959.958,1959,12,-34.261
1960.042,1960,1,-31.736
1960.125,1960,2,-36.925
1960.208,1960,3,-31.483
1960.292,1960,4,-31.129
1960.375,1960,5,-19.082
1960.458,1960,6,-13.466
1960.542,1960,7,-11.713
1960.625,1960,8,-14.989
1960.708,1960,9,-23.936
1960.792,1960,10,-24.311
1960.875,1960,11,-30.937
1960.958,1960,12,-38.699
1961.042,1961,1,-35.789
1961.125,1961,2,-39.082
1961.208,1961,3,-39.310
1961.292,1961,4,-31.007
1961.375,1961,5,-17.877
1961.458,1961,6,-14.207
1961.542,1961,7,-11.905
1961.625,1961,8,-16.806
1961.708,1961,9,-23.795
1961.792,1961,10,-27.221
1961.875,1961,11,-37.172
1961.958,1961,12,-31.835
1962.042,1962,1,-37.655
1962.125,1962,2,-37.264
1962.208,1962,3,-36.848
1962.292,1962,4,-32.024
1962.375,1962,5,-19.927
1962.458,1962,6,-14.258
1962.542,1962,7,-11.945
1962.625,1962,8,-17.399
1962.708,1962,9,-25.813
1962.792,1962,10,-32.982
1962.875,1962,11,-31.482
1962.958,1962,12,-36.489
1963.042,1963,1,-31.332
1963.125,1963,2,-31.366
1963.208,1963,3,-30.980
1963.292,1963,4,-28.489
1963.375,1963,5,-22.110
1963.458,1963,6,-13.298
1963.542,1963,7,-11.892
1963.625,1963,8,-17.885
1963.708,1963,9,-23.438
1963.792,1963,10,-31.146
1963.875,1963,11,-36.549
1963.958,1963,12,-33.685
1964.042,1964,1,-33.971
1964.125,1964,2,-29.493
1964.208,1964,3,-32.623
1964.292,1964,4,-29.105
1964.375,1964,5,-21.889
1964.458,1964,6,-13.279
1964.542,1964,7,-12.208
1964.625,1964,8,-18.011
1964.708,1964,9,-25.677
1964.792,1964,10,-32.890
1964.875,1964,11,-40.270
1964.958,1964,12,-37.244
1965.042,1965,1,-34.624
1965.125,1965,2,-28.133
1965.208,1965,3,-36.271
1965.292,1965,4,-30.155
1965.375,1965,5,-17.958
1965.458,1965,6,-13.477
1965.542,1965,7,-11.382
1965.625,1965,8,-18.314
1965.708,1965,9,-28.199
1965.792,1965,10,-31.342
1965.875,1965,11,-30.653
1965.958,1965,12,-39.528
1966.042,1966,1,-40.249
1966.125,1966,2,-35.951
1966.208,1966,3,-40.788
1966.292,1966,4,-33.089
1966.375,1966,5,-22.298
1966.458,1966,6,-12.936
1966.542,1966,7,-13.134
1966.625,1966,8,-14.796
1966.708,1966,9,-25.214
1966.792,1966,10,-26.756
1966.875,1966,11,-33.174
1966.958,1966,12,-37.987
1967.042,1967,1,-35.461
1967.125,1967,2,-35.578
1967.208,1967,3,-41.929
1967.292,1967,4,-33.576
1967.375,1967,5,-19.490
1967.458,1967,6,-13.652
1967.542,1967,7,-9.366
1967.625,1967,8,-18.674
1967.708,1967,9,-20.442
1967.792,1967,10,-34.702
1967.875,1967,11,-36.114
1967.958,1967,12,-36.336
1968.042,1968,1,-42.402
1968.125,1968,2,-36.080
1968.208,1968,3,-40.106
1968.292,1968,4,-26.123
1968.375,1968,5,-18.114
1968.458,1968,6,-13.441
1968.542,1968,7,-10.495
1968.625,1968,8,-16.251
1968.708,1968,9,-22.799
1968.792,1968,10,-29.298
1968.875,1968,11,-32.470
1968.958,1968,12,-35.885
1969.042,1969,1,-34.957
1969.125,1969,2,-33.642
1969.208,1969,3,-35.894
1969.292,1969,4,-31.521
1969.375,1969,5,-17.519
1969.458,1969,6,-11.231
1969.542,1969,7,-10.572
1969.625,1969,8,-16.687
1969.708,1969,9,-24.644
1969.792,1969,10,-36.212
1969.875,1969,11,-30.961
1969.958,1969,12,-35.073
1970.042,1970,1,-37.729
1970.125,1970,2,-36.958
1970.208,1970,3,-43.285
1970.292,1970,4,-31.026
1970.375,1970,5,-18.500
1970.458,1970,6,-12.682
1970.542,1970,7,-12.107
1970.625,1970,8,-18.491
1970.708,1970,9,-23.059
1970.792,1970,10,-25.539
1970.875,1970,11,-33.753
1970.958,1970,12,-35.521
1971.042,1971,1,-38.847
1971.125,1971,2,-41.296
1971.208,1971,3,-38.679
1971.292,1971,4,-31.677
1971.375,1971,5,-20.917
1971.458,1971,6,-11.523
1971.542,1971,7,-11.248
1971.625,1971,8,-15.140
1971.708,1971,9,-22.979
1971.792,1971,10,-33.888
1971.875,1971,11,-36.309
1971.958,1971,12,-40.367
1972.042,1972,1,-31.190
1972.125,1972,2,-40.228
1972.208,1972,3,-35.142
1972.292,1972,4,-29.734
1972.375,1972,5,-17.605
1972.458,1972,6,-14.102
1972.542,1972,7,-10.266
1972.625,1972,8,-15.730
1972.708,1972,9,-21.602
1972.792,1972,10,-28.852
1972.875,1972,11,-37.264
1972.958,1972,12,-39.102
1973.042,1973,1,-34.101
1973.125,1973,2,-42.429
1973.208,1973,3,-38.060
1973.292,1973,4,-29.563
1973.375,1973,5,-22.979
1973.458,1973,6,-13.073
1973.542,1973,7,-11.238
1973.625,1973,8,-13.973
1973.708,1973,9,-21.191
1973.792,1973,10,-29.488
1973.875,1973,11,-38.583
1973.958,1973,12,-36.940
1974.042,1974,1,-36.436
1974.125,1974,2,-41.476
1974.208,1974,3,-32.171
1974.292,1974,4,-28.017
1974.375,1974,5,-21.472
1974.458,1974,6,-13.277
1974.542,1974,7,-11.669
1974.625,1974,8,-17.453
1974.708,1974,9,-29.124
1974.792,1974,10,-26.300
1974.875,1974,11,-32.544
1974.958,1974,12,-44.424
1975.042,1975,1,-41.828
1975.125,1975,2,-35.857
1975.208,1975,3,-38.408
1975.292,1975,4,-29.543
1975.375,1975,5,-20.487
1975.458,1975,6,-13.418
1975.542,1975,7,-10.492
1975.625,1975,8,-13.890
1975.708,1975,9,-26.743
1975.792,1975,10,-31.375
1975.875,1975,11,-37.631
1975.958,1975,12,-41.149
1976.042,1976,1,-38.380
1976.125,1976,2,-35.937
1976.208,1976,3,-32.126
1976.292,1976,4,-34.169
1976.375,1976,5,-20.621
1976.458,1976,6,-12.946
1976.542,1976,7,-11.080
1976.625,1976,8,-17.250
1976.708,1976,9,-18.099
1976.792,1976,10,-26.578
1976.875,1976,11,-33.992
1976.958,1976,12,-31.796
1977.042,1977,1,-35.604
1977.125,1977,2,-34.149
1977.208,1977,3,-34.956
1977.292,1977,4,-28.543
1977.375,1977,5,-17.828
1977.458,1977,6,-12.625
1977.542,1977,7,-12.575
1977.625,1977,8,-17.323
1977.708,1977,9,-24.035
1977.792,1977,10,-32.867
1977.875,1977,11,-34.561
1977.958,1977,12,-36.575
1978.042,1978,1,-39.381
1978.125,1978,2,-39.454
1978.208,1978,3,-39.114
1978.292,1978,4,-27.501
1978.375,1978,5,-19.874
1978.458,1978,6,-15.188
1978.542,1978,7,-10.021
1978.625,1978,8,-13.606
1978.708,1978,9,-24.514
1978.792,1978,10,-29.907
1978.875,1978,11,-41.626
1978.958,1978,12,-31.963
1979.042,1979,1,-35.989
1979.125,1979,2,-35.325
1979.208,1979,3,-33.346
1979.292,1979,4,-29.503
1979.375,1979,5,-23.787
1979.458,1979,6,-13.995
1979.542,1979,7,-11.158
1979.625,1979,8,-15.087
1979.708,1979,9,-28.574
1979.792,1979,10,-29.803
1979.875,1979,11,-36.939
1979.958,1979,12,-33.651
1980.042,1980,1,-30.483
1980.125,1980,2,-36.691
1980.208,1980,3,-32.217
1980.292,1980,4,-31.631
1980.375,1980,5,-17.482
1980.458,1980,6,-11.864
1980.542,1980,7,-10.678
1980.625,1980,8,-14.470
1980.708,1980,9,-25.483
1980.792,1980,10,-33.572
1980.875,1980,11,-32.940
1980.958,1980,12,-40.486
1981.042,1981,1,-40.826
1981.125,1981,2,-41.890
1981.208,1981,3,-40.019
1981.292,1981,4,-28.778
1981.375,1981,5,-20.382
1981.458,1981,6,-13.186
1981.542,1981,7,-12.302
1981.625,1981,8,-16.730
1981.708,1981,9,-24.005
1981.792,1981,10,-29.994
1981.875,1981,11,-34.015
1981.958,1981,12,-37.229
1982.042,1982,1,-37.867
1982.125,1982,2,-35.412
1982.208,1982,3,-32.854
1982.292,1982,4,-29.072
1982.375,1982,5,-23.254
1982.458,1982,6,-13.656
1982.542,1982,7,-12.667
1982.625,1982,8,-17.176
1982.708,1982,9,-25.557
1982.792,1982,10,-32.792
1982.875,1982,11,-37.822
1982.958,1982,12,-36.451
1983.042,1983,1,-42.913
1983.125,1983,2,-38.638
1983.208,1983,3,-42.840
1983.292,1983,4,-30.920
1983.375,1983,5,-21.591
1983.458,1983,6,-14.411
1983.542,1983,7,-12.804
1983.625,1983,8,-18.960
1983.708,1983,9,-26.109
1983.792,1983,10,-32.278
1983.875,1983,11,-35.149
1983.958,1983,12,-37.184
1984.042,1984,1,-40.762
1984.125,1984,2,-39.997
1984.208,1984,3,-36.322
1984.292,1984,4,-31.922
1984.375,1984,5,-22.695
1984.458,1984,6,-12.210
