Year,B18_12,B21_12,B23_12,B26_12,NGRIP_12,B16,B18,B21,B26,B29,NEEM
2011,166,124,171,,157,,,,,,
2010,103,84,195,223,131,,,,,,
2009,104,114,148,175,136,,,,,,
2008,192,81,120,125,148,,,,,,
2007,144,156,91,127,127,,,,,,186
2006,106,93,103,168,141,,,,,,205
2005,83,102,168,176,104,,,,,,208
2004,142,78,99,73,188,,,,,,226
2003,89,145,63,148,152,,,,,,213
2002,139,127,77,210,203,,,,,,204
2001,79,76,126,201,157,,,,,,287
2000,144,109,159,131,163,,,,,,246
1999,100,145,137,126,174,,,,,,175
1998,98,170,133,240,197,,,,,,227
1997,99,73,79,146,133,,,,,,215
1996,107,136,52,192,191,,,,,,217
1995,116,142,99,195,166,,,,,,239
1994,80,133,136,217,251,,,,136,166,204
1993,52,105,82,212,201,,,107,92,135,204
1992,62,46,114,188,128,53,61,106,212,138,191
1991,108,178,51,201,166,143,96,108,168,119,174
1990,112,89,155,170,194,105,99,96,177,86,176
1989,60,56,115,159,129,111,133,109,120,143,178
1988,115,140,84,137,82,82,74,101,222,134,263
1987,100,156,92,206,192,71,61,79,162,137,172
1986,53,154,61,188,185,107,153,97,106,134,218
1985,66,99,109,174,148,151,84,103,168,165,229
1984,63,105,114,159,187,115,96,97,91,155,167
1983,121,72,118,238,165,83,126,88,122,78,136
1982,64,86,116,143,150,80,105,99,90,116,130
1981,111,76,77,142,152,80,73,76,159,148,202
1980,130,52,139,121,155,166,196,132,104,117,204
1979,83,92,119,177,182,117,69,73,176,108,188
1978,89,61,149,192,159,143,80,74,158,157,186
1977,59,65,84,165,83,64,86,110,177,114,187
1976,64,133,114,220,117,119,135,88,172,164,226
1975,71,58,114,152,183,138,77,67,204,166,244
1974,51,86,102,182,189,138,77,99,209,143,174
1973,110,49,107,241,196,101,134,114,139,135,223
1972,96,130,115,158,118,202,105,91,153,130,200
1971,106,98,87,252,188,101,87,95,116,167,250
1970,138,59,201,148,180,64,137,143,147,127,178
1969,68,57,132,249,167,147,64,53,151,123,207
1968,129,79,153,132,169,92,164,89,170,131,212
1967,79,84,124,176,141,74,76,141,137,171,238
1966,60,92,100,237,186,129,104,71,82,133,196
1965,108,59,148,240,146,165,204,93,167,135,190
1964,91,77,132,195,,92,116,84,161,120,230
1963,75,96,112,181,,119,70,72,167,137,221
1962,45,116,92,197,,110,86,83,132,106,160
1961,61,64,105,215,,129,112,71,108,137,164
1960,91,140,147,246,,165,56,83,118,123,161
1959,89,89,158,230,,129,55,83,169,134,165
1958,59,50,104,116,,156,64,83,176,107,192
1957,77,67,138,188,,83,55,74,133,138,170
1956,104,99,73,149,,129,74,74,159,142,193
1955,123,102,115,233,,55,74,92,99,176,235
1954,130,116,139,171,,165,37,92,124,176,251
1953,96,134,152,221,,138,64,92,159,161,177
1952,136,83,174,174,,193,129,74,85,151,253
1951,74,99,153,181,,64,74,92,104,138,167
1950,98,110,120,135,,64,55,101,167,88,221
1949,133,90,88,205,,64,129,101,147,97,195
1948,175,64,111,175,,55,83,55,172,176,188
1947,108,75,119,192,,110,110,119,123,90,173
1946,148,101,131,167,,74,83,165,108,141,223
1945,141,100,111,217,,101,147,193,174,183,197
1944,105,112,212,180,,138,92,55,236,114,151
1943,84,121,102,227,,129,64,46,236,85,159
1942,100,119,124,211,,138,92,92,241,138,164
1941,82,98,124,229,,55,83,74,253,158,219
1940,103,165,90,214,,193,83,46,216,146,227
1939,93,169,147,228,,129,156,64,203,177,240
1938,116,135,160,181,,129,64,101,113,133,182
1937,128,82,179,119,,202,83,83,238,154,174
1936,127,86,93,193,,175,129,101,189,120,179
1935,109,167,105,157,,129,101,46,233,101,187
1934,87,130,105,176,,138,119,92,240,169,184
1933,123,125,93,291,,129,83,83,137,187,316
1932,132,115,136,229,,129,83,156,139,145,249
1931,78,115,64,278,,138,119,129,208,184,234
1930,136,108,93,161,,74,101,101,250,157,194
1929,78,141,70,178,,64,101,83,219,116,191
1928,126,139,118,264,,129,92,74,213,190,301
1927,99,92,104,,,129,129,129,177,135,200
1926,89,140,153,,,119,74,147,219,115,172
1925,212,126,106,,,147,64,83,299,147,197
1924,206,98,201,,,147,83,92,188,93,197
1923,119,110,82,,,92,46,83,164,136,206
1922,95,81,71,,,92,92,119,199,124,149
1921,78,81,113,,,156,92,138,184,125,182
1920,120,153,126,,,138,138,55,161,120,183
1919,106,153,97,,,138,92,46,166,133,204
1918,83,82,96,,,138,119,55,168,102,209
1917,135,107,121,,,101,64,101,170,128,201
1916,141,126,195,,,119,119,156,187,176,218
1915,95,199,172,,,129,64,129,268,165,277
1914,109,251,86,,,221,175,92,194,128,181
1913,144,172,209,,,165,147,156,141,156,177
1912,129,146,146,,,193,156,83,146,158,203
1911,157,194,236,,,202,175,147,141,128,161
1910,106,320,124,,,147,156,83,119,92,153
1909,76,113,149,,,101,101,55,147,123,187
1908,95,204,123,,,129,129,92,170,133,196
1907,122,184,124,,,156,101,55,111,224,175
1906,126,148,186,,,92,64,74,141,152,184
1905,102,186,125,,,156,119,101,148,148,197
1904,96,89,100,,,92,83,101,180,93,176
1903,126,151,149,,,119,101,64,154,149,181
1902,112,140,140,,,147,101,129,167,124,203
1901,152,126,150,,,110,83,156,147,142,225
1900,157,129,101,,,147,46,101,146,95,234
1899,100,197,115,,,156,74,119,132,119,196
1898,85,189,102,,,110,119,55,116,121,187
1897,51,240,154,,,138,64,129,133,124,188
1896,108,297,115,,,119,83,156,141,178,197
1895,79,218,153,,,156,83,83,189,151,236
