Year,B18_12,B21_12,B23_12,NGRIP_12,B26_12,B16,B17,B18,B20,B21,B22,B23,B26,B27.28,B29,B30,GRIP,GISP2,NGRIP,NEGIS,NEEM
2011,-36.84,-31.39,-32.44,-35.24,,,,,,,,,,,,,,,,-33.09,-33.55
2010,-31.31,-32.19,-35.62,-32.74,-29.45,,,,,,,,,,,,,,,-37.76,-30.58
2009,-33.01,-33.84,-32.19,-29.71,-34.23,,,,,,,,,,,,,,,-32.38,-33.18
2008,-32.97,-34.05,-33.34,-35.21,-33.14,,,,,,,,,,,,,,,-33.58,-33.89
2007,-36.97,-33.96,-36.54,-36.87,-33.28,,,,,,,,,,,,,,,-38.88,-32.3
2006,-35.62,-34.68,-35.91,-37.06,-33.48,,,,,,,,,,,,,,,-37.73,-33.43
2005,-35.48,-32.74,-35.77,-35.54,-33.06,,,,,,,,,,,,,,,-35.56,-32.57
2004,-35.2,-33.07,-35.26,-34.24,-35.54,,,,,,,,,,,,,,,-34.53,-32.15
2003,-35.07,-34.38,-35.57,-35.16,-33.22,,,,,,,,,,,,,,,-34.4,-32.05
2002,-33.7,-33.09,-33.24,-33.75,-33.01,,,,,,,,,,,,,,,-32.2,-31.07
2001,-36.23,-31.16,-32.97,-33.81,-32.54,,,,,,,,,,,,,,,-31.87,-31.07
2000,-36.45,-31.12,-33.79,-35.07,-29.88,,,,,,,,,,,,,,,-34.87,-32.61
1999,-37.22,-32.39,-34.32,-34.68,-31.08,,,,,,,,,,,,,,,-32.19,-33.29
1998,-35.79,-32.74,-32.35,-34.66,-29.83,,,,,,,,,,,,,,,-37.99,-31.65
1997,-37.25,-34.1,-35.16,-34.45,-32.64,,,,,,,,,,,,,,,-37.04,-33.22
1996,-36.98,-33.62,-39.42,-35.07,-33.15,,,,,,,,,,,,,,,-37.7,-34.83
1995,-37.86,-34.98,-39.14,-37.08,-33.98,,,,,,,,,,,,,,-31.36,-41.47,-32.44
1994,-35.89,-31.83,-34.8,-35.62,-33.9,,,,,,,,-36.1,-34.3,-35.9,,,,-37.2,-38.63,-32.43
1993,-36.17,-30.6,-34.92,-35.91,-31.44,,,,-35.5,-31.2,-30.5,-34.5,-34,-34.2,-37.3,,,,-35.08,-37.4,-32
1992,-40.41,-33.54,-34.89,-37.41,-31.52,-36.7,-36.9,-40.7,-38.6,-33.4,-32.7,-37.2,-32.2,-35.2,-37.3,,,,-37.06,-37.04,-33.01
1991,-38.72,-33.75,-36.53,-36.51,-29.85,-38.1,-39,-37.4,-31.5,-32.7,-33.2,-37.4,-34.5,-37.7,-36.3,,,,-36.3,-38.83,-34.98
1990,-33.86,-35.12,-37.92,-35.04,-33.85,-35.3,-39.1,-38.1,-32.8,-35,-35,-39.3,-33.1,-35.9,-35.9,,,,-36.62,-36.73,-33.15
1989,-35.88,-36.75,-38.06,-33.75,-36.74,-35.6,-35.8,-37.5,-35.2,-33.9,-33.7,-36.2,-35.9,-34.2,-35.4,,,,-38.95,-37.88,-32.66
1988,-36.33,-37.58,-35.78,-35.16,-34.32,-36.4,-38.6,-37.1,-32.9,-33.1,-35.2,-34.7,-32.6,-34.6,-34.5,-32.8,,,-34.74,-38.48,-32.2
1987,-37.74,-33.87,-37.71,-36.29,-33.68,-34.7,-37.8,-36.4,-31.7,-32.4,-32.4,-35.4,-31.5,-34.2,-34.5,-36.7,,-35.98,-36.41,-35.79,-33.5
1986,-37.85,-32.47,-38.78,-34.39,-33.45,-37,-38.6,-37.5,-36.5,-31.8,-33.9,-35.2,-33,-35.2,-35.7,-34.7,,-35.82,-35.86,-34.34,-33.03
1985,-36.19,-33.88,-33.81,-36.05,-34.48,-36.8,-37.5,-34.4,-37.2,-32.8,-36.4,-33.2,-33,-32.4,-33.4,-34.7,,-32.73,-34.93,-34.47,-32.29
1984,-34.68,-32.18,-35.94,-34.17,-33.15,-37.4,-40.6,-33.2,-36.7,-31.3,-34.3,-34.2,-32.6,-35.7,-37.6,-36.8,,-34.49,-32.64,-34.19,-34.5
