Year,B16,B17,B18,B18_12,B19,B20,B21,B21_12,B22,B22_12,B23,B23_12,B26,B26_12,B27.28,B29,B30,NGRIP,NGRIP_12,GISP2,GRIP,NEGIS,NEEM
2011,,,,-36.8434,,,,-32.2074,,-34.09,,-32.442,,,,,,,-35.24,,,-33.09,-33.55
2010,,,,-31.5204,,,,-32.6474,,-34.21,,-35.2234,,-29.4452,,,,,-32.74,,,-37.76,-30.58
2009,,,,-32.9567,,,,-33.5715,,-34.53,,-32.9471,,-34.2291,,,,,-29.71,,,-32.38,-33.18
2008,,,,-33.1324,,,,-34.9709,,-34.58,,-33.7721,,-33.1378,,,,,-35.21,,,-33.58,-33.8922
2007,,,,-36.9664,,,,-33.6857,,-35.16,,-35.9529,,-33.2771,,,,,-36.87,,,-38.88,-32.3002
2006,,,,-35.6237,,,,-34.2015,,-33.76,,-35.7718,,-33.4795,,,,,-37.06,,,-37.73,-33.4255
2005,,,,-35.4767,,,,-32.7392,,-32.93,,-35.7685,,-33.0576,,,,,-35.54,,,-35.56,-32.5726
2004,,,,-35.1959,,,,-33.1782,,-32.7,,-35.2607,,-35.5375,,,,,-34.24,,,-34.53,-32.1517
2003,,,,-35.0715,,,,-34.488,,-35.37,,-35.3032,,-33.2222,,,,,-35.17,,,-34.4,-32.0482
2002,,,,-33.7017,,,,-33.0919,,-32.62,,-33.2499,,-33.0148,,,,,-33.75,,,-32.2,-31.0675
2001,,,,-36.2256,,,,-31.159,,-33.89,,-32.9671,,-32.543,,,,,-33.81,,,-31.87,-31.0735
2000,,,,-36.4508,,,,-31.1239,,-35.16,,-33.7869,,-29.8792,,,,,-35.07,,,-34.87,-32.612
1999,,,,-37.2177,,,,-32.3932,,-34.36,,-34.3246,,-31.08,,,,,-34.68,,,-32.19,-33.2875
1998,,,,-35.7938,,,,-32.7386,,-29.82,,-32.2249,,-29.8329,,,,,-34.66,,,-37.99,-31.6507
1997,,,,-37.2545,,,,-34.1049,,-34.74,,-35.3821,,-32.6438,,,,,-34.45,,,-37.04,-33.2198
1996,,,,-36.98,,,,-33.6214,,,,-39.6754,,-33.1535,,,,,-35.07,,,-37.7,-34.8259
1995,,,,-37.8613,,,,-34.9811,,,,-39.1399,,-33.9803,,,,-31.36,-37.07,,,-41.47,-32.4441
1994,,,,-35.8948,,,,-31.8279,,,,-34.7951,-36.0589,-33.9037,-34.295,-35.8641,,-37.2,-35.62,,,-38.63,-32.4324
1993,,,,-36.1719,,-35.5039,-31.1974,-30.5994,-30.5475,,-34.48098,-34.9162,-34.016,-31.4406,-34.2159,-37.3315,,-35.08,-35.91,,,-37.4,-32.0031
1992,-36.71058125,-36.93187778,-40.669,-40.4069,,-38.6053,-33.3566,-33.5418,-32.7312,,-37.21555455,-34.8927,-32.2289,-31.5237,-35.2318,-37.2569,,-37.06,-37.3,,,-37.04,-33.0056
1991,-38.12331429,-39.01554,-37.3534,-38.7196,,-31.4653,-32.7223,-33.751,-33.2141,,-37.43766364,-36.529,-34.4916,-29.8506,-37.6914,-36.3463,,-36.3,-36.51,,,-38.83,-34.9786
1990,-35.25558182,-39.10836,-38.0924,-33.8588,,-32.8367,-35.0161,-35.1219,-35.0219,,-39.25129167,-37.921,-33.0739,-33.8507,-35.9314,-35.9038,,-36.62,-35.04,,,-36.73,-33.1521
1989,-35.64725,-35.76273333,-37.4848,-35.3476,,-35.1871,-33.9311,-36.7459,-33.6872,,-36.17998182,-38.0599,-35.9224,-36.7369,-34.2007,-35.4299,,-38.95,-33.75,,,-37.88,-32.6642
1988,-36.36294545,-38.57859,-37.1163,-36.2357,,-32.8892,-33.0985,-37.5832,-35.1856,,-34.7441,-35.7798,-32.588,-34.316,-34.5885,-34.5021,-32.8398,-34.74,-35.16,,,-38.48,-32.1963
1987,-34.725725,-37.75905,-36.3938,-37.6661,,-31.7067,-32.426,-33.8739,-32.416,,-35.43826,-37.7056,-31.524,-33.6812,-34.2125,-34.4684,-36.6718,-36.41,-36.29,-35.98,,-35.79,-33.5026
1986,-36.97659091,-38.55827778,-37.4752,-37.9307,,-36.4861,-31.776,-32.4701,-33.851,,-35.24886364,-38.7757,-33.0371,-33.45,-35.1902,-35.7112,-34.7119,-35.86,-34.39,-35.82,,-34.34,-33.0294
