Year,t2m
1836,250.43434143066406
1837,251.11473083496094
1838,251.42425537109375
1839,251.49288940429688
1840,251.28469848632812
1841,251.6510009765625
1842,251.2164306640625
1843,251.0043182373047
1844,252.37022399902344
1845,251.0976104736328
1846,251.82887268066406
1847,251.29464721679688
1848,252.03805541992188
1849,251.1508331298828
1850,251.5477294921875
1851,251.39102172851562
1852,251.47837829589844
1853,252.265869140625
1854,252.3848114013672
1855,251.947265625
1856,251.2073516845703
1857,251.63116455078125
1858,251.69696044921875
1859,250.41493225097656
1860,250.88658142089844
1861,250.9878692626953
1862,251.39544677734375
1863,250.53961181640625
1864,252.23524475097656
1865,250.60433959960938
1866,250.55584716796875
1867,251.02838134765625
1868,250.8869171142578
1869,250.95947265625
1870,252.257080078125
1871,251.2374267578125
1872,251.34799194335938
1873,249.8834228515625
1874,250.84591674804688
1875,252.38674926757812
1876,251.14398193359375
1877,251.1221466064453
1878,251.54486083984375
1879,252.2830810546875
1880,252.24322509765625
1881,252.22616577148438
1882,250.59066772460938
1883,251.46774291992188
1884,250.96437072753906
1885,250.90078735351562
1886,250.8558349609375
1887,250.77975463867188
1888,251.51063537597656
1889,251.57997131347656
1890,251.02732849121094
1891,251.14337158203125
1892,251.10391235351562
1893,251.4731903076172
1894,250.84226989746094
1895,251.87841796875
1896,251.48101806640625
1897,251.1114501953125
1898,250.64210510253906
1899,250.60821533203125
1900,251.88836669921875
1901,252.3335723876953
1902,251.39053344726562
1903,250.30783081054688
1904,249.4799346923828
1905,250.78370666503906
1906,250.78785705566406
1907,250.57928466796875
1908,252.289794921875
1909,251.42417907714844
1910,250.143310546875
1911,251.5511932373047
1912,251.93026733398438
1913,251.26998901367188
1914,250.23348999023438
1915,251.95169067382812
1916,251.13314819335938
1917,249.62559509277344
1918,251.41879272460938
1919,251.79244995117188
1920,250.39434814453125
1921,250.43991088867188
1922,251.79373168945312
1923,251.40679931640625
1924,250.93450927734375
1925,251.6374969482422
1926,251.8952178955078
1927,251.87142944335938
1928,253.1454620361328
1929,252.51513671875
1930,252.1647186279297
1931,251.58018493652344
1932,252.65748596191406
1933,252.9662322998047
1934,251.4059600830078
1935,251.4921112060547
1936,250.9038848876953
1937,251.06871032714844
1938,251.3456268310547
1939,252.87843322753906
1940,251.89324951171875
1941,253.1142578125
1942,251.39096069335938
1943,248.60873413085938
1944,250.49990844726562
1945,251.9436492919922
1946,252.68106079101562
1947,251.88267517089844
1948,249.94570922851562
1949,249.3719482421875
1950,251.4078826904297
1951,250.1228485107422
1952,251.93963623046875
1953,251.05902099609375
1954,252.49520874023438
1955,251.56080627441406
1956,251.75823974609375
1957,250.907470703125
1958,251.5958251953125
1959,251.7337188720703
1960,253.27182006835938
1961,251.05491638183594
1962,251.45884704589844
1963,252.2398681640625
1964,251.6910400390625
1965,252.0978546142578
1966,250.17469787597656
1967,250.6442108154297
1968,251.68032836914062
1969,251.84983825683594
1970,251.51502990722656
1971,249.3671417236328
1972,251.86949157714844
1973,250.38153076171875
1974,251.28224182128906
1975,250.68978881835938
1976,252.1468048095703
1977,251.5686798095703
1978,251.2180633544922
1979,251.19097900390625
1980,251.85910034179688
1981,250.16249084472656
1982,250.32655334472656
1983,248.94427490234375
1984,251.31947326660156
1985,251.39779663085938
1986,251.0018768310547
1987,251.35604858398438
1988,251.13308715820312
1989,249.81455993652344
1990,250.84268188476562
1991,250.5186309814453
1992,249.4762420654297
1993,250.70191955566406
1994,250.8032684326172
1995,251.3424835205078
1996,252.4321746826172
1997,250.911376953125
1998,251.45433044433594
1999,251.16729736328125
2000,249.72010803222656
2001,251.9630126953125
2002,251.73291015625
2003,251.20748901367188
2004,252.18850708007812
2005,253.09463500976562
2006,251.87344360351562
2007,251.70648193359375
2008,252.054443359375
2009,250.67324829101562
2010,254.22523498535156
2011,251.41787719726562
2012,252.40606689453125
2013,251.67066955566406
2014,252.5680694580078
2015,250.94447326660156
