Year AD,Temperature (deg C anomaly wrt 1961-1990),2 sigma unc. low,2 sigma unc. high,,Bin Center (AD),Temperature (deg C anomaly wrt 1961-1990),,Bin Center (AD),Temperature (deg C anomaly wrt 1961-1990)
1,-0.67,-1.72,0.37,,5,-0.54,,50,-0.25
2,-0.47,-1.45,0.48,,35,-0.13,,150,-0.24
3,0.23,-0.84,1.37,,65,-0.18,,250,-0.28
4,0.43,-0.42,1.28,,95,-0.28,,350,-0.32
5,0.09,-0.84,0.98,,125,-0.02,,450,-0.13
6,0.01,-1.16,1.10,,155,-0.38,,550,-0.27
7,-0.69,-1.71,0.38,,185,-0.28,,650,-0.57
8,-0.80,-1.78,0.28,,215,-0.40,,750,-0.41
9,-0.75,-1.85,0.49,,245,-0.17,,850,-0.43
10,-0.55,-1.63,0.87,,275,-0.24,,950,-0.19
11,-0.39,-1.43,0.96,,305,-0.55,,1050,-0.15
12,-0.99,-1.85,0.11,,335,-0.51,,1150,-0.38
13,-1.28,-2.04,-0.27,,365,-0.16,,1250,-0.54
14,-0.41,-1.05,0.38,,395,0.19,,1350,-0.89
15,-1.03,-2.08,0.04,,425,0.02,,1450,-0.76
16,-1.57,-2.19,-0.83,,455,-0.34,,1550,-0.75
17,0.11,-0.88,1.27,,485,-0.29,,1650,-1.15
18,-1.60,-2.58,-0.36,,515,-0.40,,1750,-1.01
19,0.00,-1.07,1.21,,545,-0.32,,1850,-1.10
20,-0.55,-1.46,0.46,,575,-0.26,,1950,-0.15
21,-1.15,-2.07,-0.11,,605,-0.17,,,
22,-0.13,-0.99,0.88,,635,-0.44,,,
23,-0.25,-1.37,0.98,,665,-0.64,,,
24,-0.70,-1.95,0.61,,695,-0.72,,,
25,-0.38,-1.29,0.63,,725,-0.45,,,
26,-0.89,-1.93,0.10,,755,-0.42,,,
27,0.27,-0.70,1.21,,785,-0.34,,,
28,0.24,-0.81,1.33,,815,-0.56,,,
29,-0.34,-1.42,0.79,,845,-0.37,,,
30,-0.15,-1.13,0.87,,875,-0.41,,,
31,-0.06,-1.14,0.97,,905,-0.47,,,
32,0.50,-0.57,1.62,,935,-0.15,,,
33,0.50,-0.72,1.89,,965,-0.13,,,
34,0.37,-0.90,1.72,,995,0.06,,,
35,0.95,0.08,1.92,,1025,0.02,,,
36,-0.35,-1.58,1.10,,1055,-0.35,,,
37,0.20,-0.81,1.24,,1085,-0.18,,,
38,0.36,-0.78,1.75,,1115,-0.45,,,
39,0.30,-0.65,1.55,,1145,-0.19,,,
40,-0.08,-1.36,1.29,,1175,-0.37,,,
41,-0.22,-1.04,0.80,,1205,-0.52,,,
42,0.33,-0.41,1.02,,1235,-0.32,,,
43,0.11,-0.89,0.95,,1265,-0.74,,,
44,-0.28,-1.17,0.81,,1295,-0.70,,,
45,-0.46,-1.30,0.75,,1325,-0.95,,,
46,-0.79,-1.91,0.74,,1355,-0.88,,,
47,-0.77,-1.60,0.35,,1385,-0.92,,,
48,-0.34,-1.38,0.77,,1415,-0.54,,,
49,-0.08,-1.17,1.09,,1445,-0.74,,,
50,-0.70,-1.64,0.36,,1475,-1.05,,,
51,-0.89,-1.86,0.25,,1505,-0.67,,,
52,-0.35,-1.60,1.34,,1535,-0.87,,,
53,-0.11,-1.42,1.25,,1565,-0.58,,,
54,-0.25,-1.32,0.87,,1595,-0.99,,,
55,-0.27,-1.27,1.00,,1625,-1.14,,,
56,-0.78,-1.87,0.60,,1655,-1.01,,,
57,-0.85,-1.79,0.30,,1685,-1.25,,,
58,-0.43,-1.37,0.58,,1715,-1.00,,,
59,-0.39,-1.40,0.82,,1745,-1.12,,,
60,-0.25,-1.24,1.07,,1775,-0.89,,,
61,-0.35,-1.25,0.91,,1805,-1.34,,,
62,-0.43,-1.42,0.86,,1835,-1.27,,,
63,-0.33,-1.22,0.69,,1865,-0.85,,,
64,0.73,-0.32,1.79,,1895,-0.90,,,
65,-0.03,-0.99,0.97,,1925,-0.29,,,
66,0.32,-0.91,2.03,,1955,0.12,,,
67,-0.26,-1.33,0.91,,1985,0.02,,,
68,-0.37,-1.49,0.80,,,,,,
69,0.02,-1.07,1.34,,,,,,
70,0.27,-0.75,1.23,,,,,,
71,0.68,-0.39,1.80,,,,,,
72,0.95,-0.25,2.34,,,,,,
73,0.32,-0.55,1.32,,,,,,
74,-0.30,-1.39,0.97,,,,,,
75,-0.11,-1.12,0.96,,,,,,
76,-0.91,-1.97,0.12,,,,,,
77,-0.77,-1.77,0.37,,,,,,
78,-0.44,-1.72,1.06,,,,,,
79,0.33,-0.65,1.31,,,,,,
80,-0.04,-1.08,0.88,,,,,,
81,0.59,-0.65,1.96,,,,,,
82,-0.10,-1.08,1.14,,,,,,
83,-0.38,-1.29,0.62,,,,,,
84,-0.33,-1.41,0.93,,,,,,
85,-0.17,-1.48,1.16,,,,,,
86,0.31,-0.74,1.66,,,,,,
87,-0.55,-1.46,0.81,,,,,,
88,0.43,-0.56,1.81,,,,,,
89,-0.25,-1.26,0.90,,,,,,
90,0.07,-0.92,1.21,,,,,,
91,-0.91,-1.63,0.17,,,,,,
92,-0.81,-1.89,0.51,,,,,,
93,-0.23,-1.14,0.98,,,,,,
94,-0.11,-1.27,0.98,,,,,,
95,-0.58,-1.61,0.58,,,,,,
96,-0.76,-1.51,0.11,,,,,,
97,-0.39,-1.36,0.88,,,,,,
98,-1.29,-2.03,-0.39,,,,,,
99,-0.09,-1.06,0.91,,,,,,
100,0.27,-0.53,1.20,,,,,,
101,-0.66,-1.66,0.67,,,,,,
102,-0.57,-1.46,0.52,,,,,,
103,0.25,-0.68,1.48,,,,,,
104,-0.10,-1.01,1.01,,,,,,
105,-1.04,-2.07,0.35,,,,,,
106,-0.42,-1.43,0.71,,,,,,
107,-0.17,-1.07,0.68,,,,,,
108,-0.10,-1.05,1.14,,,,,,
109,-0.35,-1.40,0.87,,,,,,
110,-0.06,-1.17,1.02,,,,,,
111,-0.38,-1.10,0.56,,,,,,
112,-0.18,-0.98,0.72,,,,,,
113,-0.51,-1.46,0.28,,,,,,
114,-0.97,-1.84,-0.11,,,,,,
115,0.09,-0.73,1.06,,,,,,
116,0.41,-0.57,1.55,,,,,,
117,0.09,-1.00,1.11,,,,,,
118,0.02,-1.11,1.27,,,,,,
119,-0.31,-1.37,0.99,,,,,,
120,0.41,-0.47,1.38,,,,,,
121,-0.19,-1.18,1.09,,,,,,
122,0.23,-0.54,1.01,,,,,,
123,-0.36,-1.23,0.64,,,,,,
124,-0.40,-1.45,0.80,,,,,,
125,0.36,-0.79,1.62,,,,,,
126,-0.04,-0.96,0.95,,,,,,
127,0.17,-0.93,1.58,,,,,,
128,-0.36,-1.36,0.80,,,,,,
129,-0.16,-1.08,0.75,,,,,,
130,0.27,-0.77,1.41,,,,,,
131,0.90,0.05,1.89,,,,,,
132,0.08,-0.90,1.10,,,,,,
133,0.06,-1.07,1.09,,,,,,
134,-0.19,-1.30,1.04,,,,,,
