%% The GBI values are based on the following publication: 
%% Hanna, E., Cropper, T.E., Hall, R.J. and Cappelen, J., Greenland Blocking
%% Index 1851-2015: a regional climate change signal. Int. J. Climatol., 36,
%% 4847-4861, https://doi.org/10.1002/joc.4673, 2016.
Year,annual,winter,spring,summer,fall
1851,0.34,,-0.11,1.09,0.69
1852,-0.06,-0.02,0.59,-0.74,0.40
1853,-0.08,0.02,0.80,-0.81,-0.71
1854,-0.76,-0.78,-1.06,-0.57,-0.33
1855,0.33,0.88,-0.24,-0.37,0.60
1856,0.08,0.44,0.62,-0.64,0.10
1857,-0.31,-0.63,-0.15,-0.39,0.14
1858,0.14,0.27,0.13,-0.51,0.71
1859,-0.05,-0.49,-0.45,0.20,0.42
1860,-0.31,-0.98,-0.87,-0.26,0.48
1861,-0.05,0.29,-0.28,-0.07,0.37
1862,-0.29,-0.30,0.05,-0.86,-0.24
1863,-0.11,-0.73,-0.67,0.38,0.46
1864,0.40,-0.40,0.28,0.93,0.84
1865,0.04,0.14,0.43,-0.20,-0.04
1866,0.03,-0.68,0.10,0.26,0.26
1867,0.08,0.23,-0.03,0.24,0.25
1868,-0.32,-0.95,-1.02,-0.06,0.44
1869,0.47,-0.56,-0.08,0.80,1.51
1870,0.74,0.79,0.33,1.24,0.36
1871,0.61,0.59,0.80,0.52,1.29
1872,0.80,-0.33,0.87,0.98,1.25
1873,0.52,-0.20,0.74,0.85,0.92
1874,-0.30,-0.77,-0.29,-0.22,0.01
1875,0.48,0.08,-0.08,0.20,1.63
1876,0.53,-0.34,-0.20,-0.06,2.49
1877,0.60,-0.05,0.57,1.20,0.95
1878,1.42,0.70,0.75,0.95,2.27
1879,0.96,1.28,0.55,1.19,1.82
1880,0.76,-0.40,-0.06,1.20,1.93
1881,0.44,1.06,0.66,0.33,0.53
1882,0.18,-0.86,-0.02,0.99,-0.32
1883,-0.48,-0.17,-0.33,-0.52,-0.24
1884,0.21,-0.60,0.74,0.36,0.56
1885,0.51,0.08,0.22,0.84,0.46
1886,0.22,0.10,0.18,-0.12,0.89
1887,1.17,-0.61,1.24,1.64,1.89
1888,0.75,1.06,0.75,1.03,0.92
1889,0.22,-0.26,-0.04,0.22,0.89
1890,-0.32,-0.78,-0.49,-0.24,0.19
1891,0.36,-0.45,0.76,1.23,-0.17
1892,0.42,0.33,0.31,-0.04,0.52
1893,0.68,0.88,-0.25,1.71,1.11
1894,0.35,-0.97,0.64,0.37,1.07
1895,0.63,1.02,-0.18,1.17,0.29
1896,0.17,0.18,-0.23,0.33,0.91
1897,0.34,0.11,-0.62,1.14,0.40
1898,-0.06,-0.51,0.64,-0.08,0.00
1899,0.17,-0.30,0.82,-0.19,-0.31
1900,0.05,0.64,0.81,0.12,-0.88
1901,0.15,0.50,0.03,-0.65,0.57
1902,0.47,0.50,0.37,1.41,-0.11
1903,0.05,-0.87,-0.63,0.85,0.64
1904,-0.62,-0.74,-1.28,-0.21,-0.42
1905,-0.09,-0.11,0.12,-0.17,0.37
1906,-0.14,-1.10,0.09,0.28,-0.08
1907,-0.31,-0.85,-0.44,0.44,-0.50
1908,-0.07,-0.36,-0.07,0.01,0.04
1909,0.50,-0.26,1.36,0.05,0.70
1910,0.22,-0.57,-0.20,1.13,0.65
1911,-0.04,-0.67,-0.34,1.21,-0.31
1912,0.06,0.37,-0.74,0.97,-0.04
1913,-0.76,-0.93,-1.13,-0.81,-0.37
1914,-0.53,-0.54,-0.95,-0.39,-0.10
1915,0.70,-0.16,0.54,0.58,1.11
1916,0.04,-0.15,0.68,-0.32,-0.16
1917,-0.14,0.59,0.27,0.22,-1.24
1918,0.20,0.29,-0.85,1.04,0.21
1919,0.43,0.76,0.38,0.69,0.31
1920,-0.39,-0.69,-0.21,-0.54,-0.58
1921,-0.62,-0.12,-1.06,-0.29,-0.38
1922,-0.30,-0.77,0.31,-1.27,0.27
1923,-0.50,-0.54,-0.13,-0.63,-0.72
1924,0.13,0.10,1.30,-0.18,-0.36
1925,-0.31,-1.07,-0.33,-0.93,0.21
1926,-0.04,0.03,0.12,-0.22,0.21
1927,0.40,0.01,0.31,-0.08,1.14
1928,0.12,-0.49,0.51,0.72,0.09
1929,-0.23,0.76,-0.04,-0.12,-1.22
1930,0.20,-0.73,0.29,0.03,0.87
1931,0.51,0.19,0.18,1.41,0.27
1932,0.53,0.13,1.25,1.03,0.17
1933,0.26,-0.87,0.20,0.59,0.52
1934,0.01,-0.29,-0.83,1.04,0.02
1935,0.08,-0.43,0.80,-0.15,-0.18
1936,-0.16,1.26,-0.40,-0.07,-0.52
1937,-0.18,-0.79,-0.04,-0.92,0.11
1938,-0.41,0.20,-0.73,-0.11,-0.73
1939,0.31,0.00,-0.08,0.67,0.51
1940,0.34,1.20,0.54,-0.20,0.09
1941,0.12,0.91,0.07,-0.36,-0.01
1942,0.11,0.35,-0.03,0.33,-0.25
1943,-0.17,-0.20,-0.99,0.76,-0.08
1944,0.03,-0.40,-0.09,0.61,-0.18
1945,0.29,0.51,0.21,0.02,0.10
1946,-0.27,0.34,-0.13,-1.12,0.23
1947,0.01,0.72,-0.59,-1.04,0.44
1948,-0.04,0.15,-0.73,0.85,0.17
1949,-0.28,-0.87,-0.72,0.36,0.01
1950,-0.05,-0.34,0.09,-0.01,-0.53
1951,0.04,0.17,0.81,0.03,0.17
1952,0.67,-0.34,0.89,0.33,0.74
1953,-0.10,0.66,0.92,0.01,-0.88
1954,-0.06,-0.72,0.57,0.49,-0.82
1955,0.25,0.40,0.30,-1.08,0.93
1956,-0.08,0.49,-0.44,0.60,-0.48
1957,0.34,-0.53,0.40,1.19,0.08
1958,0.64,0.53,0.87,1.14,-0.34
1959,-0.11,0.35,-0.25,0.04,-0.28
1960,0.63,0.99,0.04,1.00,0.60
1961,-0.08,-0.52,-0.07,-0.57,-0.03
1962,0.21,0.24,0.65,0.55,-0.03
1963,-0.04,0.93,-0.59,0.18,-0.86
1964,-0.18,0.48,-0.54,-0.46,-0.03
1965,0.22,0.63,0.37,-0.34,0.32
1966,0.36,0.76,-0.07,0.49,0.30
1967,-0.38,0.06,-0.56,-0.70,-0.81
1968,0.72,0.72,0.34,0.34,1.60
1969,0.08,1.57,-0.27,-0.16,-0.74
1970,0.01,0.54,-0.21,-0.59,0.37
1971,-0.08,0.20,0.07,0.20,-0.19
1972,-0.74,-0.90,-0.60,-1.10,-0.31
1973,0.15,-0.83,0.12,0.01,0.79
1974,-0.29,-0.31,-0.23,0.25,-0.43
1975,-0.21,-0.86,0.27,-0.10,-0.33
1976,-0.41,-0.77,-0.73,-0.84,0.21
1977,0.29,1.01,0.36,0.38,-0.36
1978,-0.19,0.29,-0.49,0.05,-1.33
1979,0.00,1.15,0.76,-0.48,-0.39
1980,0.46,0.32,0.26,0.69,0.37
1981,0.36,-0.16,0.10,0.08,0.87
1982,-0.50,0.51,-0.66,0.12,-1.06
1983,-0.35,-0.85,0.16,-1.14,0.18
1984,-0.44,-0.99,-0.31,0.06,-0.26
1985,0.48,0.22,0.11,0.26,0.57
1986,-0.54,0.66,-0.74,-0.30,-1.06
1987,0.19,0.00,-0.61,0.62,-0.01
1988,0.05,0.14,0.39,-0.37,0.75
1989,-0.86,-1.45,-1.20,-0.52,-0.64
1990,-0.61,-0.76,-1.10,-0.05,-0.13
1991,-0.20,-0.80,-0.13,-0.03,0.14
