year,t04202,f04202,t04210,f04210,t04216,f04216,t04250,f04250,t04270,f04270,t04320,f04320,t04360,f04360,t06011,f06011,t06186,f06186
1870,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
1871,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
1872,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
1873,#NULL!,#NULL!,-7.4,-8.42,-5.5,-5.52,-2.1,-2.13,-1.3,0.05,#NULL!,#NULL!,#NULL!,#NULL!,6.0,5.97,8.0,7.47
1874,#NULL!,#NULL!,-7.6,-8.45,-5.1,-5.57,-2.2,-2.15,-1.6,0.05,#NULL!,#NULL!,#NULL!,#NULL!,5.9,5.97,7.9,7.47
1875,#NULL!,#NULL!,-8.5,-8.49,-4.4,-5.62,-1.7,-2.17,0.9,0.04,#NULL!,#NULL!,#NULL!,#NULL!,6.8,5.97,7.0,7.47
1876,#NULL!,#NULL!,-8.9,-8.52,-4.8,-5.67,-1.5,-2.20,0.9,0.04,#NULL!,#NULL!,#NULL!,#NULL!,6.0,5.97,7.3,7.47
1877,#NULL!,#NULL!,-8.1,-8.56,-4.4,-5.72,-2.0,-2.22,0.8,0.03,#NULL!,#NULL!,#NULL!,#NULL!,5.5,5.96,7.0,7.47
1878,#NULL!,#NULL!,-7.4,-8.60,-3.6,-5.77,-0.4,-2.23,2.0,0.03,#NULL!,#NULL!,#NULL!,#NULL!,5.8,5.96,8.3,7.48
1879,#NULL!,#NULL!,-8.0,-8.63,-5.0,-5.82,-1.8,-2.25,1.1,0.02,#NULL!,#NULL!,#NULL!,#NULL!,5.6,5.96,6.3,7.48
1880,#NULL!,#NULL!,-8.4,-8.67,-6.8,-5.88,-2.1,-2.27,0.6,0.01,#NULL!,#NULL!,#NULL!,#NULL!,6.4,5.96,7.6,7.48
1881,#NULL!,#NULL!,-7.8,-8.70,-4.5,-5.93,-1.4,-2.29,1.0,0.01,#NULL!,#NULL!,#NULL!,#NULL!,5.5,5.96,6.5,7.49
1882,#NULL!,#NULL!,-10.0,-8.73,-7.6,-5.98,-3.7,-2.30,-1.5,0.00,#NULL!,#NULL!,#NULL!,#NULL!,6.3,5.96,8.4,7.50
1883,#NULL!,#NULL!,-7.2,-8.76,-5.5,-6.02,-3.8,-2.31,-1.9,-0.01,#NULL!,#NULL!,#NULL!,#NULL!,6.4,5.96,7.7,7.51
1884,#NULL!,#NULL!,-10.2,-8.79,-9.0,-6.07,-4.6,-2.32,-2.3,-0.01,#NULL!,#NULL!,#NULL!,#NULL!,6.5,5.96,8.2,7.52
1885,#NULL!,#NULL!,-8.3,-8.81,-5.2,-6.11,-2.0,-2.33,0.4,-0.02,#NULL!,#NULL!,#NULL!,#NULL!,5.4,5.97,7.3,7.53
1886,#NULL!,#NULL!,-10.0,-8.83,-7.5,-6.14,-2.9,-2.33,0.1,-0.02,#NULL!,#NULL!,#NULL!,#NULL!,5.5,5.97,7.6,7.54
1887,#NULL!,#NULL!,-10.7,-8.85,-8.0,-6.17,-3.0,-2.33,-0.6,-0.02,#NULL!,#NULL!,#NULL!,#NULL!,5.5,5.98,7.3,7.55
1888,#NULL!,#NULL!,-8.8,-8.86,-5.3,-6.19,-1.3,-2.33,0.9,-0.03,#NULL!,#NULL!,#NULL!,#NULL!,5.2,5.98,6.4,7.57
1889,#NULL!,#NULL!,-9.9,-8.86,-6.0,-6.21,-2.3,-2.33,-0.1,-0.03,#NULL!,#NULL!,#NULL!,#NULL!,6.4,5.99,7.6,7.58
1890,#NULL!,#NULL!,-9.2,-8.86,-6.9,-6.22,-2.6,-2.32,-0.2,-0.03,#NULL!,#NULL!,#NULL!,#NULL!,6.5,6.00,7.7,7.60
1891,#NULL!,#NULL!,-10.2,-8.85,-7.5,-6.22,-2.6,-2.32,0.1,-0.03,#NULL!,#NULL!,#NULL!,#NULL!,6.1,6.01,7.5,7.62
1892,#NULL!,#NULL!,-8.1,-8.84,-4.7,-6.22,-1.1,-2.31,1.3,-0.03,#NULL!,#NULL!,#NULL!,#NULL!,4.9,6.02,7.2,7.64
1893,#NULL!,#NULL!,-7.8,-8.82,-5.2,-6.21,-1.5,-2.30,0.7,-0.02,#NULL!,#NULL!,#NULL!,#NULL!,6.1,6.03,7.3,7.65
1894,#NULL!,#NULL!,-10.4,-8.80,-8.9,-6.19,-3.5,-2.29,-1.5,-0.02,#NULL!,#NULL!,#NULL!,#NULL!,6.8,6.04,8.3,7.67
1895,#NULL!,#NULL!,-7.2,-8.77,-4.7,-6.17,-0.7,-2.27,1.5,-0.02,#NULL!,#NULL!,-1.8,-2.09,5.7,6.05,7.3,7.69
1896,#NULL!,#NULL!,-10.1,-8.74,-8.1,-6.14,-3.1,-2.26,-1.2,-0.01,#NULL!,#NULL!,-2.3,-2.09,6.5,6.06,8.4,7.71
1897,#NULL!,#NULL!,-9.3,-8.71,-7.0,-6.11,-2.2,-2.24,-0.2,0.00,#NULL!,#NULL!,-1.8,-2.08,6.1,6.07,8.0,7.73
1898,#NULL!,#NULL!,-10.2,-8.67,-8.6,-6.08,-4.2,-2.23,-1.0,0.01,#NULL!,#NULL!,-1.8,-2.08,6.1,6.08,8.2,7.75
1899,#NULL!,#NULL!,-8.3,-8.63,-6.2,-6.04,-2.4,-2.21,0.1,0.01,#NULL!,#NULL!,-3.3,-2.07,6.1,6.09,8.4,7.77
1900,#NULL!,#NULL!,-6.8,-8.60,-4.2,-6.00,-1.4,-2.20,0.5,0.03,#NULL!,#NULL!,-1.4,-2.06,6.2,6.10,7.8,7.78
1901,#NULL!,#NULL!,-8.0,-8.56,-4.8,-5.96,-1.1,-2.18,0.9,0.04,#NULL!,#NULL!,-1.1,-2.05,6.4,6.11,7.9,7.80
1902,#NULL!,#NULL!,-7.7,-8.53,-5.0,-5.92,-1.7,-2.16,0.3,0.06,#NULL!,#NULL!,-2.6,-2.04,5.8,6.12,6.6,7.82
1903,#NULL!,#NULL!,-7.9,-8.49,-5.1,-5.88,-1.9,-2.14,-0.3,0.07,#NULL!,#NULL!,-2.4,-2.03,5.9,6.13,7.9,7.83
1904,#NULL!,#NULL!,-9.1,-8.46,-5.7,-5.83,-2.5,-2.12,-0.4,0.09,#NULL!,#NULL!,-2.7,-2.01,6.3,6.14,7.8,7.85
1905,#NULL!,#NULL!,-7.6,-8.42,-4.4,-5.79,-1.7,-2.10,0.2,0.12,#NULL!,#NULL!,-2.6,-1.99,6.5,6.14,7.7,7.86
1906,#NULL!,#NULL!,-8.9,-8.39,-6.7,-5.75,-3.0,-2.08,-1.1,0.14,#NULL!,#NULL!,-2.7,-1.97,5.9,6.15,8.5,7.87
